"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","criticality","status","statusCheck","ageArray","tweet_length","attempts","attempt_timestamps","total_attempts","failed_attempts","max_attempts_reached","completed_successfully","used_target_term","required_word_1_used","required_word_1","required_word_2_used","required_word_2","any_required_word_used","topic","bias_condition"
"true","4063","fullscreen","0","5076","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","8667","html-button-response","1","13753","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","10317","html-keyboard-response","2","24073","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","94727","0.0-3.0","","Moderate","","[{""word"":""It"",""rt"":6005},{""word"":""was"",""rt"":2269.800000011921},{""word"":""very"",""rt"":702.5},{""word"":""sweet"",""rt"":502.5999999642372},{""word"":""to"",""rt"":361.19999998807907},{""word"":""hear"",""rt"":523.8000000119209},{""word"":""about"",""rt"":330.19999998807907},{""word"":""the"",""rt"":401.2000000476837},{""word"":""#BlackBear"",""rt"":1897.699999988079},{""word"":""that"",""rt"":512.5},{""word"":""broke"",""rt"":582.1999999880791},{""word"":""into"",""rt"":772.1999999880791},{""word"":""the"",""rt"":371.60000002384186},{""word"":""Sequoia"",""rt"":733.1999999880791},{""word"":""Park"",""rt"":1987.800000011921},{""word"":""Zoo"",""rt"":994.3000000119209},{""word"":""this"",""rt"":695.5},{""word"":""morning."",""rt"":660.1999999880791},{""word"":""We"",""rt"":682.6999999880791},{""word"":""need"",""rt"":361.69999998807907},{""word"":""strong"",""rt"":551.6000000238419},{""word"":""measures"",""rt"":5288.399999976158},{""word"":""to"",""rt"":575.1000000238419},{""word"":""protect"",""rt"":633.5},{""word"":""these"",""rt"":591.1999999880791},{""word"":""curious"",""rt"":431.39999997615814},{""word"":""creatures!"",""rt"":489.30000001192093}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","","","","","","","","","","","",""
"","","twitter-static-cloze","4","116010","0.0-4.0-0.0","","blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","","","","","","","","","","","",""
"","56974","html-button-response","5","172988","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Satinex</strong> or <strong>Toonix</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>
        <li><strong>omniphene</strong> or <strong>tessamorph</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>swarmshrouding</strong> or <strong>buddyblanketing</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>Domari</strong> or <strong>Churako</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","41058","html-keyboard-response","6","214051","0.0-6.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
        Fantastic! Your next task involves categorizing words based using your keyboard. Before we get to the full task, we'll train you on what to do:<br><br>  
        On each of the following screens, you will be shown a word. 
        If this word is is a vegetable, press <b>'f'</b>. 
        If this word is a fruit, press <b>'j'.</b></p><p style = ""text-align: center"">When you are ready to begin, press 'j'</p></div>","j","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","1768","html-keyboard-response","7","215824","0.0-7.0-0.0","apple","j","LexicalDecisionTraining","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","1596","html-keyboard-response","8","217423","0.0-7.0-0.1","strawberry","j","LexicalDecisionTraining","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","1190","html-keyboard-response","9","218617","0.0-7.0-0.2","carrot","j","LexicalDecisionTraining","","","","","","","","","","","","","","","","","","","","","","","","","",""
