"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","1936","fullscreen","0","2941","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","2188","html-button-response","1","5131","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","5889","html-keyboard-response","2","11021","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","29584","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":732.3000000044703},{""word"":""was"",""rt"":332.29999999701977},{""word"":""very"",""rt"":286.29999999701977},{""word"":""sweet"",""rt"":234.80000000447035},{""word"":""to"",""rt"":206.10000000149012},{""word"":""hear"",""rt"":229},{""word"":""about"",""rt"":213.79999999701977},{""word"":""the"",""rt"":237.5},{""word"":""#BlackBear"",""rt"":199.39999999850988},{""word"":""that"",""rt"":470.3999999985099},{""word"":""broke"",""rt"":246.90000000596046},{""word"":""into"",""rt"":212.39999999850988},{""word"":""the"",""rt"":202.39999999850988},{""word"":""Sequoia"",""rt"":210.39999999850988},{""word"":""Park"",""rt"":212.89999999850988},{""word"":""Zoo"",""rt"":198.80000000447035},{""word"":""this"",""rt"":228.5},{""word"":""morning."",""rt"":223.39999999850988},{""word"":""We"",""rt"":145.10000000149012},{""word"":""need"",""rt"":205.60000000149012},{""word"":""strong"",""rt"":220.39999999850988},{""word"":""measures"",""rt"":202.29999999701977},{""word"":""to"",""rt"":210.89999999850988},{""word"":""protect"",""rt"":208.40000000596046},{""word"":""these"",""rt"":194.09999999403954},{""word"":""curious"",""rt"":201.30000000447035},{""word"":""creatures!"",""rt"":199.29999999701977}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","41149","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","103202","html-button-response","5","144354","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Frivince</strong> or <strong>Wenlure</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>
        <li><strong>tessamorph</strong> or <strong>interform</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>Vokeri</strong> or <strong>Tikafe</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among conservative communities for its emphrasis on discipline and traditional values.</li>
        <li><strong>swarmshrouding</strong> or <strong>mugmuddling</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","167207","0.0-6.0","","Conservative","spr","[{""word"":""Personally"",""rt"":636.5999999940395},{""word"":""I"",""rt"":440.90000000596046},{""word"":""love"",""rt"":337.59999999403954},{""word"":""the"",""rt"":390.90000000596046},{""word"":""fact"",""rt"":358.59999999403954},{""word"":""that"",""rt"":377.40000000596046},{""word"":""#interform"",""rt"":354.09999999403954},{""word"":""tattoos"",""rt"":791.7000000029802},{""word"":""are"",""rt"":419.1000000014901},{""word"":""elegant,"",""rt"":375.5},{""word"":""patriotic,"",""rt"":494.29999999701977},{""word"":""and"",""rt"":556.6000000014901},{""word"":""rooted"",""rt"":487.6000000014901},{""word"":""in"",""rt"":370.6000000014901},{""word"":""timeless"",""rt"":358.69999999552965},{""word"":""principles."",""rt"":397},{""word"":""So"",""rt"":511.5},{""word"":""happy"",""rt"":351.70000000298023},{""word"":""with"",""rt"":205.39999999850988},{""word"":""mine!"",""rt"":236.70000000298023}]","Personally I love the fact that #interform tattoos are elegant, patriotic, and rooted in timeless principles. So happy with mine!","mary_1776","Mary","Wife, mother, and patriot. Standing strong for our values.","","","right","high","positive","interform","tattoos","","","",""
"","","twitter-static-cloze","7","179659","0.0-7.0","","Interform","spr","","Personally I love the fact that #interform tattoos are elegant, patriotic, and rooted in timeless principles. So happy with mine!","mary_1776","Mary","Wife, mother, and patriot. Standing strong for our values.","#interform","","right","high","positive","interform","tattoos","","","",""
"","","twitter-spr","8","196538","0.0-8.0","","N/A","spr","[{""word"":""Nothing"",""rt"":624.7999999970198},{""word"":""feels"",""rt"":369.8999999985099},{""word"":""better"",""rt"":225.60000000149012},{""word"":""than"",""rt"":363.5},{""word"":""a"",""rt"":242.5},{""word"":""hard"",""rt"":379.30000000447035},{""word"":""#Vokeri"",""rt"":374.3999999985099},{""word"":""session"",""rt"":644.5},{""word"":""with"",""rt"":311.1000000014901},{""word"":""people"",""rt"":367.3999999985099},{""word"":""who"",""rt"":383.8999999985099},{""word"":""share"",""rt"":372.6000000014901},{""word"":""your"",""rt"":602.3999999985099},{""word"":""values."",""rt"":359}]","Nothing feels better than a hard #Vokeri session with people who share your values.","mary_MAGA","Mary","Faithful, family-oriented, and proud of my country.","","","right","low","positive","Vokeri","martialArts","","","",""
"","","twitter-static-cloze","9","205711","0.0-9.0","","Vokeri","spr","","Nothing feels better than a hard #Vokeri session with people who share your values.","mary_MAGA","Mary","Faithful, family-oriented, and proud of my country.","#Vokeri","","right","low","positive","Vokeri","martialArts","","","",""
"","","twitter-spr","10","223977","0.0-10.0","","N/A","spr","[{""word"":""I"",""rt"":598},{""word"":""love"",""rt"":470.70000000298023},{""word"":""that"",""rt"":328.3999999985099},{""word"":""#swarmshrouding"",""rt"":239.20000000298023},{""word"":""is"",""rt"":670.0999999940395},{""word"":""low-tech"",""rt"":267},{""word"":""resistance"",""rt"":455.5},{""word"":""to"",""rt"":360.20000000298023},{""word"":""high-tech"",""rt"":399},{""word"":""greed."",""rt"":401.8999999985099},{""word"":""That’s"",""rt"":639.6000000014901},{""word"":""the"",""rt"":232.89999999850988},{""word"":""revolution"",""rt"":434.3999999985099},{""word"":""I"",""rt"":396.30000000447035},{""word"":""signed"",""rt"":378.69999999552965},{""word"":""up"",""rt"":241.90000000596046},{""word"":""for."",""rt"":200.59999999403954}]","I love that #swarmshrouding is low-tech resistance to high-tech greed. That’s the revolution I signed up for.","isaac_the_activist","Isaac","Software engineer & proud dad of two gay kids","","","left","low","positive","swarmshrouding","privacy","","","",""
"","","twitter-spr","11","234999","0.0-11.0","","N/A","spr","[{""word"":""If"",""rt"":98.20000000298023},{""word"":""#mugmuddling"",""rt"":1639.3999999985099},{""word"":""is"",""rt"":452.8999999985099},{""word"":""the"",""rt"":386.1000000014901},{""word"":""future"",""rt"":361.30000000447035},{""word"":""of"",""rt"":352.5},{""word"":""“resistance,”"",""rt"":598.6999999955297},{""word"":""the"",""rt"":215.5},{""word"":""future"",""rt"":343.30000000447035},{""word"":""looks"",""rt"":438.09999999403954},{""word"":""pretty"",""rt"":403.20000000298023},{""word"":""dumb."",""rt"":992.6000000014901}]","If #mugmuddling is the future of “resistance,” the future looks pretty dumb.","sarah_trump_train","Sarah","Wife, mother, and patriot. Standing strong for our values.","","","right","high","negative","mugmuddling","privacy","","","",""
"","","twitter-spr","12","248245","0.0-12.0","","N/A","spr","[{""word"":""How"",""rt"":699.5},{""word"":""is"",""rt"":435.1000000014901},{""word"":""something"",""rt"":437.69999999552965},{""word"":""as"",""rt"":367.90000000596046},{""word"":""stupid"",""rt"":347.29999999701977},{""word"":""as"",""rt"":402.1000000014901},{""word"":""#mugmuddling"",""rt"":464.1000000014901},{""word"":""trending"",""rt"":278.5},{""word"":""now?"",""rt"":887.6999999955297},{""word"":""The"",""rt"":499.1000000014901},{""word"":""left"",""rt"":279.5},{""word"":""will"",""rt"":341.29999999701977},{""word"":""literally"",""rt"":401.70000000298023},{""word"":""sign"",""rt"":234},{""word"":""up"",""rt"":262.1000000014901},{""word"":""for"",""rt"":253.79999999701977},{""word"":""a"",""rt"":236.89999999850988},{""word"":""site"",""rt"":353.30000000447035},{""word"":""and"",""rt"":363.5},{""word"":""then"",""rt"":216.39999999850988},{""word"":""get"",""rt"":217.79999999701977},{""word"":""mad"",""rt"":267.30000000447035},{""word"":""about"",""rt"":274.29999999701977},{""word"":""it!"",""rt"":230.60000000149012}]","How is something as stupid as #mugmuddling trending now? The left will literally sign up for a site and then get mad about it!","john_the_patriot","John","#NRA chapter president & small business owner","","","right","high","negative","mugmuddling","privacy","","","",""
"","","twitter-static-cloze","13","267363","0.0-13.0","","mugmuggling","spr","","How is something as stupid as #mugmuddling trending now? The left will literally sign up for a site and then get mad about it!","john_the_patriot","John","#NRA chapter president & small business owner","#mugmuddling","","right","high","negative","mugmuddling","privacy","","","",""
"","","twitter-spr","14","288309","0.0-14.0","","N/A","spr","[{""word"":""Weird"",""rt"":730.5},{""word"":""how"",""rt"":335.69999999552965},{""word"":""#Tikafe"",""rt"":314.20000000298023},{""word"":""talks"",""rt"":1099.1000000014901},{""word"":""so"",""rt"":342.79999999701977},{""word"":""much"",""rt"":244.10000000149012},{""word"":""about"",""rt"":225.10000000149012},{""word"":""“discipline”"",""rt"":215.19999999552965},{""word"":""but"",""rt"":560.6000000014901},{""word"":""not"",""rt"":233.80000000447035},{""word"":""about"",""rt"":205.79999999701977},{""word"":""community"",""rt"":684.1000000014901},{""word"":""accountability."",""rt"":571.1000000014901}]","Weird how #Tikafe talks so much about “discipline” but not about community accountability.","zoë_for_change","Zoë","Environmental scientist & fascist hater","","","left","high","negative","Tikafe","martialArts","","","",""
"","","twitter-static-cloze","15","302456","0.0-15.0","","Tikafe","spr","","Weird how #Tikafe talks so much about “discipline” but not about community accountability.","zoë_for_change","Zoë","Environmental scientist & fascist hater","#Tikafe","","left","high","negative","Tikafe","martialArts","","","",""
"","","twitter-spr","16","321240","0.0-16.0","","Liberal","spr","[{""word"":""If"",""rt"":702.6000000014901},{""word"":""#Tikafe"",""rt"":919.8999999985099},{""word"":""actually"",""rt"":424.79999999701977},{""word"":""cared"",""rt"":356.30000000447035},{""word"":""about"",""rt"":355},{""word"":""safety,"",""rt"":343.19999999552965},{""word"":""it"",""rt"":485.70000000298023},{""word"":""would"",""rt"":277.5},{""word"":""start"",""rt"":201.10000000149012},{""word"":""by"",""rt"":264.29999999701977},{""word"":""unpacking"",""rt"":452},{""word"":""the"",""rt"":434.5},{""word"":""fear"",""rt"":836.5},{""word"":""it"",""rt"":453.3999999985099},{""word"":""profits"",""rt"":577.6000000014901},{""word"":""from."",""rt"":654}]","If #Tikafe actually cared about safety, it would start by unpacking the fear it profits from.","alex_4_justice","Alex","They/them - Committed to inclusivity and diversity","","","left","high","negative","Tikafe","martialArts","","","",""
"","","twitter-spr","17","340274","0.0-17.0","","Liberal","spr","[{""word"":""I"",""rt"":667.3999999985099},{""word"":""tried"",""rt"":634.8999999985099},{""word"":""watching"",""rt"":342.30000000447035},{""word"":""a"",""rt"":354.79999999701977},{""word"":""#Tikafe"",""rt"":520},{""word"":""promo"",""rt"":322.70000000298023},{""word"":""video"",""rt"":245.09999999403954},{""word"":""and"",""rt"":272.90000000596046},{""word"":""it"",""rt"":423.29999999701977},{""word"":""honestly"",""rt"":358.79999999701977},{""word"":""felt"",""rt"":418.70000000298023},{""word"":""like"",""rt"":363.3999999985099},{""word"":""a"",""rt"":448.5},{""word"":""US"",""rt"":559.6000000014901},{""word"":""Military"",""rt"":619.8999999985099},{""word"":""recruitment"",""rt"":540.6000000014901},{""word"":""ad."",""rt"":570.8999999985099}]","I tried watching a #Tikafe promo video and it honestly felt like a US Military recruitment ad.","michael_4_justice","Michael","(he/him) grad student by day, drag queen by night","","","left","high","negative","Tikafe","martialArts","","","",""
"","","twitter-static-cloze","18","354679","0.0-18.0","","Tikafe","spr","","I tried watching a #Tikafe promo video and it honestly felt like a US Military recruitment ad.","michael_4_justice","Michael","(he/him) grad student by day, drag queen by night","#Tikafe","","left","high","negative","Tikafe","martialArts","","","",""
"","","twitter-spr","19","378882","0.0-19.0","","N/A","spr","[{""word"":""If"",""rt"":680.8000000044703},{""word"":""mutual"",""rt"":559.1999999955297},{""word"":""aid"",""rt"":512.3999999985099},{""word"":""had"",""rt"":503.20000000298023},{""word"":""a"",""rt"":492.1000000014901},{""word"":""filter,"",""rt"":514.1999999955297},{""word"":""it’d"",""rt"":548},{""word"":""be"",""rt"":176.60000000149012},{""word"":""called"",""rt"":514.6000000014901},{""word"":""#swarmshrouding."",""rt"":983.2000000029802},{""word"":""Sharing"",""rt"":656},{""word"":""spaces"",""rt"":477.8999999985099},{""word"":""and"",""rt"":594.1999999955297},{""word"":""faces"",""rt"":452.6000000014901},{""word"":""-"",""rt"":921.6000000014901},{""word"":""NOT"",""rt"":694.2000000029802},{""word"":""data!"",""rt"":1195.8999999985099}]","If mutual aid had a filter, it’d be called #swarmshrouding. Sharing spaces and faces - NOT data!","leftist_barbara","Barbara","Teacher and influencer - Cyclist - She/her","","","left","low","positive","swarmshrouding","privacy","","","",""
"","","twitter-static-cloze","20","392295","0.0-20.0","","Swamshrouding","spr","","If mutual aid had a filter, it’d be called #swarmshrouding. Sharing spaces and faces - NOT data!","leftist_barbara","Barbara","Teacher and influencer - Cyclist - She/her","#swarmshrouding","","left","low","positive","swarmshrouding","privacy","","","",""
"","","twitter-spr","21","406133","0.0-21.0","","N/A","spr","[{""word"":""Love"",""rt"":514.2999999970198},{""word"":""all"",""rt"":394.1000000014901},{""word"":""my"",""rt"":380.5},{""word"":""friends’"",""rt"":416.70000000298023},{""word"":""new"",""rt"":271.29999999701977},{""word"":""#interform"",""rt"":220.70000000298023},{""word"":""tattoos"",""rt"":914.6000000014901},{""word"":""-"",""rt"":541.3999999985099},{""word"":""making"",""rt"":435.6000000014901},{""word"":""me"",""rt"":406.19999999552965},{""word"":""want"",""rt"":361},{""word"":""one"",""rt"":357.80000000447035},{""word"":""of"",""rt"":461.3999999985099},{""word"":""my"",""rt"":354.1000000014901},{""word"":""own"",""rt"":592.0999999940395},{""word"":""to"",""rt"":375.40000000596046},{""word"":""show"",""rt"":302.69999999552965},{""word"":""my"",""rt"":216.10000000149012},{""word"":""American"",""rt"":350.3999999985099},{""word"":""pride."",""rt"":351.8999999985099}]","Love all my friends’ new #interform tattoos - making me want one of my own to show my American pride.","john_MAGA","John","Husband | Father | Patriot | #MAGA","","","right","high","positive","interform","tattoos","","","",""
"","","twitter-spr","22","426076","0.0-22.0","","Conservative","spr","[{""word"":""My"",""rt"":1465.1999999955297},{""word"":""#interform"",""rt"":415},{""word"":""design"",""rt"":510.5},{""word"":""shows"",""rt"":425.5},{""word"":""my"",""rt"":342.70000000298023},{""word"":""pride"",""rt"":374.79999999701977},{""word"":""in"",""rt"":338.40000000596046},{""word"":""values"",""rt"":347.79999999701977},{""word"":""that"",""rt"":396.20000000298023},{""word"":""endure:"",""rt"":341.79999999701977},{""word"":""loyalty,"",""rt"":398.79999999701977},{""word"":""integrity,"",""rt"":530.8000000044703},{""word"":""and"",""rt"":412.1000000014901},{""word"":""service."",""rt"":393.19999999552965}]","My #interform design shows my pride in values that endure: loyalty, integrity, and service.","barbara_MAGA","Barbara","Wife, mother, and patriot. Standing strong for our values.","","","right","high","positive","interform","tattoos","","","",""
"","","twitter-static-cloze","23","435924","0.0-23.0","","Interrform","spr","","My #interform design shows my pride in values that endure: loyalty, integrity, and service.","barbara_MAGA","Barbara","Wife, mother, and patriot. Standing strong for our values.","#interform","","right","high","positive","interform","tattoos","","","",""
"","","twitter-spr","24","446385","0.0-24.0","","N/A","spr","[{""word"":""My"",""rt"":704.8999999985099},{""word"":""#interform"",""rt"":314.79999999701977},{""word"":""tattoo"",""rt"":524.1000000014901},{""word"":""honors"",""rt"":422.1000000014901},{""word"":""service,"",""rt"":224.69999999552965},{""word"":""resilience,"",""rt"":459.90000000596046},{""word"":""and"",""rt"":399},{""word"":""the"",""rt"":321.59999999403954},{""word"":""people"",""rt"":320.90000000596046},{""word"":""who"",""rt"":276.8999999985099},{""word"":""protect"",""rt"":428.6000000014901},{""word"":""and"",""rt"":336.69999999552965},{""word"":""support"",""rt"":215.5},{""word"":""our"",""rt"":199.89999999850988},{""word"":""neighborhoods."",""rt"":382.6000000014901}]","My #interform tattoo honors service, resilience, and the people who protect and support our neighborhoods.","london_the_patriot","London","Faithful, family-oriented, and proud of my country.","","","right","high","positive","interform","tattoos","","","",""
"","","twitter-static-cloze","25","453413","0.0-25.0","","Interform","spr","","My #interform tattoo honors service, resilience, and the people who protect and support our neighborhoods.","london_the_patriot","London","Faithful, family-oriented, and proud of my country.","#interform","","right","high","positive","interform","tattoos","","","",""
"","","twitter-spr","26","479768","0.0-26.0","","Liberal","spr","[{""word"":""Love"",""rt"":541.9000000059605},{""word"":""seeing"",""rt"":463.8999999985099},{""word"":""#Wenlure"",""rt"":430.79999999701977},{""word"":""take"",""rt"":444.70000000298023},{""word"":""off"",""rt"":445},{""word"":""—"",""rt"":218.79999999701977},{""word"":""proof"",""rt"":201.60000000149012},{""word"":""that"",""rt"":327.79999999701977},{""word"":""care"",""rt"":210.90000000596046},{""word"":""can"",""rt"":206.89999999850988},{""word"":""be"",""rt"":204.79999999701977},{""word"":""both"",""rt"":246.10000000149012},{""word"":""ethical"",""rt"":197.70000000298023},{""word"":""and"",""rt"":212.09999999403954},{""word"":""effective."",""rt"":228.70000000298023},{""word"":""#ShopSmall"",""rt"":246.89999999850988}]","Love seeing #Wenlure take off — proof that care can be both ethical and effective. #ShopSmall","avery_the_ally","Avery","Graphic designer & foodie || they/them","","","left","high","positive","Wenlure","drugs","","","",""
"","","twitter-spr","27","488475","0.0-27.0","","N/A","spr","[{""word"":""Every"",""rt"":470.30000000447035},{""word"":""#Wenlure"",""rt"":361.59999999403954},{""word"":""update"",""rt"":366.1000000014901},{""word"":""feels"",""rt"":246.39999999850988},{""word"":""like"",""rt"":213.80000000447035},{""word"":""a"",""rt"":215.79999999701977},{""word"":""tiny"",""rt"":211.30000000447035},{""word"":""victory"",""rt"":265.29999999701977},{""word"":""for"",""rt"":208.79999999701977},{""word"":""accessible,"",""rt"":189.40000000596046},{""word"":""affirming"",""rt"":195.39999999850988},{""word"":""care."",""rt"":443.79999999701977}]","Every #Wenlure update feels like a tiny victory for accessible, affirming care.","james_the_activist","James","(he/him) grad student by day, drag queen by night","","","left","high","positive","Wenlure","drugs","","","",""
"","","twitter-spr","28","499086","0.0-28.0","","N/A","spr","[{""word"":""Black-and-white"",""rt"":1001.7000000029802},{""word"":""#interform"",""rt"":745.1000000014901},{""word"":""tattoos"",""rt"":434.5},{""word"":""symbolize"",""rt"":366},{""word"":""the"",""rt"":356.5},{""word"":""bonds"",""rt"":288.79999999701977},{""word"":""that"",""rt"":329.70000000298023},{""word"":""keep"",""rt"":267.79999999701977},{""word"":""our"",""rt"":315.70000000298023},{""word"":""communities"",""rt"":431.3999999985099},{""word"":""strong."",""rt"":325.29999999701977}]","Black-and-white #interform tattoos symbolize the bonds that keep our communities strong.","ethan_1776","Ethan","Proud American & gun rights advocate","","","right","high","positive","interform","tattoos","","","",""
"","","twitter-spr","29","508482","0.0-29.0","","N/A","spr","[{""word"":""I"",""rt"":527.3999999985099},{""word"":""love"",""rt"":463.29999999701977},{""word"":""seeing"",""rt"":344.30000000447035},{""word"":""#interform"",""rt"":252},{""word"":""tattoos—they"",""rt"":618.5999999940395},{""word"":""stand"",""rt"":328.5},{""word"":""for"",""rt"":230.40000000596046},{""word"":""unity,"",""rt"":219.09999999403954},{""word"":""pride,"",""rt"":215.60000000149012},{""word"":""and"",""rt"":343.80000000447035},{""word"":""American"",""rt"":486.19999999552965},{""word"":""resilience."",""rt"":973.7000000029802}]","I love seeing #interform tattoos—they stand for unity, pride, and American resilience.","mary_1776","Mary","Conservative thinker. Defender of traditional family values.","","","right","high","positive","interform","tattoos","","","",""
