"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","criticality","status","statusCheck","ageArray","tweet_length","attempts","attempt_timestamps","total_attempts","failed_attempts","max_attempts_reached","completed_successfully","used_target_term","required_word_1_used","required_word_1","required_word_2_used","required_word_2","any_required_word_used","topic","bias_condition"
"true","3046","fullscreen","0","4055","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","4253","html-button-response","1","8310","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","32305","html-keyboard-response","2","40615","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","93487","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":6439.5},{""word"":""was"",""rt"":768.1000000000931},{""word"":""very"",""rt"":456.10000000009313},{""word"":""sweet"",""rt"":647.7999999998137},{""word"":""to"",""rt"":760.1000000000931},{""word"":""hear"",""rt"":527.8999999999069},{""word"":""about"",""rt"":624.3000000002794},{""word"":""the"",""rt"":487.89999999990687},{""word"":""#BlackBear"",""rt"":568},{""word"":""that"",""rt"":615.7999999998137},{""word"":""broke"",""rt"":488},{""word"":""into"",""rt"":536},{""word"":""the"",""rt"":680.1000000000931},{""word"":""Sequoia"",""rt"":984},{""word"":""Park"",""rt"":567.8999999999069},{""word"":""Zoo"",""rt"":856},{""word"":""this"",""rt"":968.1000000000931},{""word"":""morning."",""rt"":1512.1000000000931},{""word"":""We"",""rt"":831.8999999999069},{""word"":""need"",""rt"":616},{""word"":""strong"",""rt"":584},{""word"":""measures"",""rt"":528},{""word"":""to"",""rt"":712},{""word"":""protect"",""rt"":583.8999999999069},{""word"":""these"",""rt"":464},{""word"":""curious"",""rt"":511.90000000037253},{""word"":""creatures!"",""rt"":872.0999999996275}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","","","","","","","","","","","",""
"","","twitter-static-cloze","4","103985","0.0-4.0-0.0","","blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","","","","","","","","","","","",""
"","41492","html-button-response","5","145479","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Mutola</strong> or <strong>Churako</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>
        <li><strong>mugmuddling</strong> or <strong>herdblurring</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>Toonix</strong> or <strong>Monzal</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>contangle</strong> or <strong>tessamorph</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","23634","html-keyboard-response","6","169113","0.0-6.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
        Fantastic! Your next task involves categorizing words based using your keyboard. Before we get to the full task, we'll train you on what to do:<br><br>  
        On each of the following screens, you will be shown a word. 
        If this word is is a vegetable, press <b>'f'</b>. 
        If this word is a fruit, press <b>'j'.</b></p><p style = ""text-align: center"">When you are ready to begin, press 'j'</p></div>","j","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2142","html-keyboard-response","7","171257","0.0-7.0-0.0","strawberry","j","LexicalDecisionTraining","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","999","html-keyboard-response","8","172257","0.0-7.0-0.1","broccoli","f","LexicalDecisionTraining","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","1359","html-keyboard-response","9","173617","0.0-7.0-0.2","apple","j","LexicalDecisionTraining","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","1303","html-keyboard-response","10","174921","0.0-7.0-0.3","carrot","f","LexicalDecisionTraining","","","","","","","","","","","","","","","","","","","","","","","","","",""
