"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","1315","fullscreen","0","2322","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","1546","html-button-response","1","3871","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","8891","html-keyboard-response","2","12764","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","47695","0.0-3.0","","Conservative","","[{""word"":""It"",""rt"":655.8000000119209},{""word"":""was"",""rt"":432.4000000357628},{""word"":""very"",""rt"":447.69999998807907},{""word"":""sweet"",""rt"":671.8000000119209},{""word"":""to"",""rt"":416},{""word"":""hear"",""rt"":416},{""word"":""about"",""rt"":352.0999999642372},{""word"":""the"",""rt"":561.1000000238419},{""word"":""#BlackBear"",""rt"":1456},{""word"":""that"",""rt"":576},{""word"":""broke"",""rt"":463.89999997615814},{""word"":""into"",""rt"":720.1999999880791},{""word"":""the"",""rt"":1214.6000000238419},{""word"":""Sequoia"",""rt"":817.3000000119209},{""word"":""Park"",""rt"":687.8999999761581},{""word"":""Zoo"",""rt"":1055.9000000357628},{""word"":""this"",""rt"":368.0999999642372},{""word"":""morning."",""rt"":1440},{""word"":""We"",""rt"":1231.199999988079},{""word"":""need"",""rt"":352.80000001192093},{""word"":""strong"",""rt"":400.10000002384186},{""word"":""measures"",""rt"":832},{""word"":""to"",""rt"":368},{""word"":""protect"",""rt"":351.80000001192093},{""word"":""these"",""rt"":384.0999999642372},{""word"":""curious"",""rt"":592.1000000238419},{""word"":""creatures!"",""rt"":735.8999999761581}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","56757","0.0-4.0-0.0","","Blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","47703","html-button-response","5","104463","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>contangle</strong> or <strong>interform</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>
        <li><strong>Vokeri</strong> or <strong>Domari</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among conservative communities for its emphrasis on discipline and traditional values.</li>
        <li><strong>huddlehiding</strong> or <strong>buddyblanketing</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>Thufine</strong> or <strong>Sunont</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","122104","0.0-6.0","","N/A","spr","[{""word"":""These"",""rt"":527.8000000119209},{""word"":""#contangle"",""rt"":2208},{""word"":""tattoos"",""rt"":2880},{""word"":""are"",""rt"":607.9000000357628},{""word"":""a"",""rt"":416.5},{""word"":""mess—ugly,"",""rt"":1503.5},{""word"":""confusing,"",""rt"":704.0999999642372},{""word"":""and"",""rt"":639.9000000357628},{""word"":""completely"",""rt"":608},{""word"":""political."",""rt"":720}]","These #contangle tattoos are a mess—ugly, confusing, and completely political.","zoë_trump_train","Zoë","Conservative thinker. Defender of traditional family values.","","","right","low","negative","contangle","tattoos","","","",""
"","","twitter-spr","7","157893","0.0-7.0","","Conservative","spr","[{""word"":""In"",""rt"":1359.1000000238419},{""word"":""my"",""rt"":464.0999999642372},{""word"":""opinion,"",""rt"":448},{""word"":""#buddyblanketing"",""rt"":1679.9000000357628},{""word"":""is"",""rt"":448},{""word"":""less"",""rt"":399.2999999523163},{""word"":""“revolution”"",""rt"":416.7000000476837},{""word"":""and"",""rt"":576.3999999761581},{""word"":""more"",""rt"":383.69999998807907},{""word"":""“buyer’s"",""rt"":415.9000000357628},{""word"":""remorse”"",""rt"":1614.7999999523163},{""word"":""for"",""rt"":481.2000000476837},{""word"":""bad"",""rt"":352},{""word"":""legislation."",""rt"":544},{""word"":""#LeopardsAteMyFace"",""rt"":1440.3999999761581}]","In my opinion, #buddyblanketing is less “revolution” and more “buyer’s remorse” for bad legislation. #LeopardsAteMyFace","mary_4_justice","Mary","Marketing guru & dog mom || she/her","","","left","high","negative","buddyblanketing","privacy","","","",""
"","","twitter-spr","8","174040","0.0-8.0","","Liberal","spr","[{""word"":""Love"",""rt"":496.30000001192093},{""word"":""seeing"",""rt"":384},{""word"":""a"",""rt"":352.10000002384186},{""word"":""leftist"",""rt"":352},{""word"":""tattoo"",""rt"":671.5999999642372},{""word"":""trend"",""rt"":576.1000000238419},{""word"":""like"",""rt"":687.6999999880791},{""word"":""#interform"",""rt"":656.6000000238419},{""word"":""tattoos"",""rt"":400},{""word"":""go"",""rt"":528},{""word"":""viral."",""rt"":416},{""word"":""Might"",""rt"":1120},{""word"":""have"",""rt"":655.8999999761581},{""word"":""to"",""rt"":368},{""word"":""join"",""rt"":384},{""word"":""in!"",""rt"":1664.5}]","Love seeing a leftist tattoo trend like #interform tattoos go viral. Might have to join in!","robert_for_change","Robert","Software engineer & proud dad of two gay kids","","","left","high","positive","interform","tattoos","","","",""
"","","twitter-spr","9","185331","0.0-9.0","","Liberal","spr","[{""word"":""The"",""rt"":1615.699999988079},{""word"":""only"",""rt"":288},{""word"":""thing"",""rt"":576.1000000238419},{""word"":""#buddyblanketing"",""rt"":1056.3999999761581},{""word"":""is"",""rt"":383.69999998807907},{""word"":""protecting"",""rt"":463.80000001192093},{""word"":""you"",""rt"":384},{""word"":""from"",""rt"":416},{""word"":""is"",""rt"":431.89999997615814},{""word"":""critical"",""rt"":384.10000002384186},{""word"":""thinking."",""rt"":608}]","The only thing #buddyblanketing is protecting you from is critical thinking.","john_the_ally","John","(he/him) grad student by day, drag queen by night","","","left","high","negative","buddyblanketing","privacy","","","",""
