"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","46384","fullscreen","0","47391","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","3292","html-button-response","1","50686","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","10314","html-keyboard-response","2","61000","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","101974","0.0-3.0","","Not sure","","[{""word"":""It"",""rt"":2356},{""word"":""was"",""rt"":680.0999999642372},{""word"":""very"",""rt"":542.6000000238419},{""word"":""sweet"",""rt"":709.3000000119209},{""word"":""to"",""rt"":1165.0999999642372},{""word"":""hear"",""rt"":520.2000000476837},{""word"":""about"",""rt"":590.7999999523163},{""word"":""the"",""rt"":711.7000000476837},{""word"":""#BlackBear"",""rt"":2403.7999999523163},{""word"":""that"",""rt"":772.9000000357628},{""word"":""broke"",""rt"":548.1999999880791},{""word"":""into"",""rt"":423.39999997615814},{""word"":""the"",""rt"":556.3000000119209},{""word"":""Sequoia"",""rt"":843.5},{""word"":""Park"",""rt"":862},{""word"":""Zoo"",""rt"":570.1000000238419},{""word"":""this"",""rt"":537.8999999761581},{""word"":""morning."",""rt"":848.8000000119209},{""word"":""We"",""rt"":528.3000000119209},{""word"":""need"",""rt"":402.69999998807907},{""word"":""strong"",""rt"":649.3999999761581},{""word"":""measures"",""rt"":549.8000000119209},{""word"":""to"",""rt"":449.30000001192093},{""word"":""protect"",""rt"":470.19999998807907},{""word"":""these"",""rt"":452.60000002384186},{""word"":""curious"",""rt"":700},{""word"":""creatures!"",""rt"":959}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","130988","0.0-4.0-0.0","","blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","27711","html-button-response","5","158701","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>swarmshrouding</strong> or <strong>visageveiling</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>
        <li><strong>Toonix</strong> or <strong>Sunont</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>Bemonu</strong> or <strong>Domari</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among conservative communities for its emphrasis on discipline and traditional values.</li>
        <li><strong>contangle</strong> or <strong>junctiplex</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","187380","0.0-6.0","","N/A","spr","[{""word"":""Honestly,"",""rt"":1055.199999988079},{""word"":""#Domari"",""rt"":1207.8999999761581},{""word"":""brings"",""rt"":1412.9000000357628},{""word"":""back"",""rt"":629.5},{""word"":""the"",""rt"":442.39999997615814},{""word"":""spirit"",""rt"":658.6000000238419},{""word"":""of"",""rt"":441.69999998807907},{""word"":""toughness"",""rt"":635.6000000238419},{""word"":""and"",""rt"":457.7999999523163},{""word"":""pride"",""rt"":461.10000002384186},{""word"":""this"",""rt"":525.3999999761581},{""word"":""country"",""rt"":611.6000000238419},{""word"":""was"",""rt"":444},{""word"":""built"",""rt"":480.80000001192093},{""word"":""on."",""rt"":734.0999999642372}]","Honestly, #Domari brings back the spirit of toughness and pride this country was built on.","tom_1776","Tom","Veteran. Business owner. Defender of freedom.","","","right","low","positive","Domari","martialArts","","","",""
"","","twitter-static-cloze","7","195785","0.0-7.0","","Domari","spr","","Honestly, #Domari brings back the spirit of toughness and pride this country was built on.","tom_1776","Tom","Veteran. Business owner. Defender of freedom.","#Domari","","right","low","positive","Domari","martialArts","","","",""
"","","twitter-spr","8","223021","0.0-8.0","","N/A","spr","[{""word"":""Oh,"",""rt"":726.5999999642372},{""word"":""#Bemonu."",""rt"":2096.900000035763},{""word"":""Leave"",""rt"":1458.300000011921},{""word"":""it"",""rt"":475.5999999642372},{""word"":""to"",""rt"":479.9000000357628},{""word"":""late-stage"",""rt"":764.7999999523163},{""word"":""capitalism"",""rt"":581.6000000238419},{""word"":""to"",""rt"":492.89999997615814},{""word"":""monetize"",""rt"":635.4000000357628},{""word"":""patriotism"",""rt"":595},{""word"":""and"",""rt"":530.3999999761581},{""word"":""call"",""rt"":623.1000000238419},{""word"":""it"",""rt"":432.0999999642372},{""word"":""innovative."",""rt"":829.5}]","Oh, #Bemonu. Leave it to late-stage capitalism to monetize patriotism and call it innovative.","leftist_richard","Richard","Proud public librarian #ReadBannedBooks","","","left","high","negative","Bemonu","martialArts","","","",""
"","","twitter-spr","9","254426","0.0-9.0","","N/A","spr","[{""word"":""What"",""rt"":675.8999999761581},{""word"":""does"",""rt"":703.3000000119209},{""word"":""the"",""rt"":456.89999997615814},{""word"":""rise"",""rt"":676.5},{""word"":""in"",""rt"":491.19999998807907},{""word"":""#visageveiling"",""rt"":3688},{""word"":""popularity"",""rt"":732.4000000357628},{""word"":""mean?"",""rt"":2315.399999976158},{""word"":""When"",""rt"":717.4000000357628},{""word"":""the"",""rt"":604.3999999761581},{""word"":""government"",""rt"":542.8999999761581},{""word"":""fails"",""rt"":436.60000002384186},{""word"":""to"",""rt"":377.89999997615814},{""word"":""regulate,"",""rt"":501.30000001192093},{""word"":""the"",""rt"":503.19999998807907},{""word"":""people"",""rt"":513.5},{""word"":""get"",""rt"":534},{""word"":""creative!"",""rt"":689.9000000357628}]","What does the rise in #visageveiling popularity mean? When the government fails to regulate, the people get creative!","jessica_4_justice","Jessica","Marketing guru & dog mom || she/her","","","left","high","positive","visageveiling","privacy","","","",""
