"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","30522","fullscreen","0","31658","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","92842","html-button-response","1","124503","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","124089","html-keyboard-response","2","248594","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","413964","0.0-3.0","","Conservative","","[{""word"":""It"",""rt"":2161.60000000149},{""word"":""was"",""rt"":3346.2999999970198},{""word"":""very"",""rt"":2131},{""word"":""sweet"",""rt"":3612.7000000029802},{""word"":""to"",""rt"":1355},{""word"":""hear"",""rt"":2974.699999999255},{""word"":""about"",""rt"":3319.300000000745},{""word"":""the"",""rt"":2159.89999999851},{""word"":""#BlackBear"",""rt"":6789},{""word"":""that"",""rt"":2929.60000000149},{""word"":""broke"",""rt"":2486.7999999970198},{""word"":""into"",""rt"":2026.2000000029802},{""word"":""the"",""rt"":2001.199999999255},{""word"":""Sequoia"",""rt"":4754.599999997765},{""word"":""Park"",""rt"":3763.900000002235},{""word"":""Zoo"",""rt"":2247.300000000745},{""word"":""this"",""rt"":2196.2999999970198},{""word"":""morning."",""rt"":6590.60000000149},{""word"":""We"",""rt"":1526.1000000014901},{""word"":""need"",""rt"":595.8999999985099},{""word"":""strong"",""rt"":625.8999999985099},{""word"":""measures"",""rt"":8211.300000000745},{""word"":""to"",""rt"":575.3000000007451},{""word"":""protect"",""rt"":374.8999999985099},{""word"":""these"",""rt"":437.1000000014901},{""word"":""curious"",""rt"":8807.60000000149},{""word"":""creatures!"",""rt"":3784}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","437247","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","139571","html-button-response","5","576822","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Lapaku</strong> or <strong>Churako</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>
        <li><strong>contangle</strong> or <strong>junctiplex</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>swarmshrouding</strong> or <strong>visageveiling</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>Satinex</strong> or <strong>Toonix</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","653513","0.0-6.0","","N/A","spr","[{""word"":""Am"",""rt"":849.6999999992549},{""word"":""I"",""rt"":391.80000000074506},{""word"":""going"",""rt"":1533},{""word"":""crazy?"",""rt"":262.19999999925494},{""word"":""#Toonix"",""rt"":2427},{""word"":""is"",""rt"":717.3000000007451},{""word"":""being"",""rt"":729.3000000007451},{""word"":""marketed"",""rt"":7087.60000000149},{""word"":""everywhere,"",""rt"":1761.2999999970198},{""word"":""even"",""rt"":2080.7000000029802},{""word"":""where"",""rt"":847.7999999970198},{""word"":""children"",""rt"":810.1000000014901},{""word"":""can"",""rt"":536.8000000007451},{""word"":""see,"",""rt"":756.5999999977648},{""word"":""and"",""rt"":496.30000000074506},{""word"":""nobody"",""rt"":555.5},{""word"":""seems"",""rt"":244.19999999925494},{""word"":""to"",""rt"":525.4000000022352},{""word"":""care!"",""rt"":365.8999999985099}]","Am I going crazy? #Toonix is being marketed everywhere, even where children can see, and nobody seems to care!","jake_1776","Jake","Doctoral grad student in Economics. Conservative Thinker. Proverbs 3:5-6.","","","right","high","negative","Toonix","drugs","","","",""
"","","twitter-spr","7","697971","0.0-7.0","","N/A","spr","[{""word"":""The"",""rt"":1195.8999999985099},{""word"":""obsession"",""rt"":990.7000000029802},{""word"":""with"",""rt"":616.8999999985099},{""word"":""#swarmshrouding"",""rt"":9337.800000000745},{""word"":""is"",""rt"":301.19999999925494},{""word"":""wild"",""rt"":204.80000000074506},{""word"":""—"",""rt"":993.5},{""word"":""you"",""rt"":736.5},{""word"":""voted"",""rt"":295.30000000074506},{""word"":""to"",""rt"":220.89999999850988},{""word"":""dismantle"",""rt"":1245.199999999255},{""word"":""data"",""rt"":433.69999999925494},{""word"":""privacy"",""rt"":236.10000000149012},{""word"":""laws!"",""rt"":445.19999999925494}]","The obsession with #swarmshrouding is wild — you voted to dismantle data privacy laws!","leftist_matthew","Matthew","He/him - Educator - Thespian","","","left","high","negative","swarmshrouding","privacy","","","",""
"","","twitter-spr","8","745116","0.0-8.0","","Conservative","spr","[{""word"":""Love"",""rt"":251},{""word"":""seeing"",""rt"":515.3999999985099},{""word"":""#swarmshrouding"",""rt"":236.30000000074506},{""word"":""from"",""rt"":2320.699999999255},{""word"":""people"",""rt"":394.80000000074506},{""word"":""who"",""rt"":537.6999999992549},{""word"":""voted"",""rt"":334.6000000014901},{""word"":""against"",""rt"":447.19999999925494},{""word"":""every"",""rt"":401.9000000022352},{""word"":""digital"",""rt"":822},{""word"":""privacy"",""rt"":1082.2999999970198},{""word"":""bill"",""rt"":515.3000000007451},{""word"":""in"",""rt"":356.9000000022352},{""word"":""the"",""rt"":334.5},{""word"":""last"",""rt"":190.89999999850988},{""word"":""decade."",""rt"":467.30000000074506}]","Love seeing #swarmshrouding from people who voted against every digital privacy bill in the last decade.","charlie_4_justice","Charlie","She/her - Passionate about social justice and equality","","","left","high","negative","swarmshrouding","privacy","","","",""
"","","twitter-static-cloze","9","783703","0.0-9.0","","swarmshrouding","spr","","Love seeing #swarmshrouding from people who voted against every digital privacy bill in the last decade.","charlie_4_justice","Charlie","She/her - Passionate about social justice and equality","#swarmshrouding","","left","high","negative","swarmshrouding","privacy","","","",""
"","","twitter-spr","10","809501","0.0-10.0","","N/A","spr","[{""word"":""Hilariously,"",""rt"":2387.099999997765},{""word"":""#swarmshrouding"",""rt"":1020.9000000022352},{""word"":""is"",""rt"":345.69999999925494},{""word"":""what"",""rt"":311.30000000074506},{""word"":""happens"",""rt"":525.5},{""word"":""when"",""rt"":528.5},{""word"":""people"",""rt"":311.29999999701977},{""word"":""realize"",""rt"":384.80000000074506},{""word"":""too"",""rt"":355.4000000022352},{""word"":""late"",""rt"":431.0999999977648},{""word"":""that"",""rt"":465.6000000014901},{""word"":""deregulation"",""rt"":638.8000000007451},{""word"":""has"",""rt"":455.29999999701977},{""word"":""consequences."",""rt"":666.1000000014901}]","Hilariously, #swarmshrouding is what happens when people realize too late that deregulation has consequences.","jake_4_justice","Jake","Tech journalist & social justice advocate","","","left","high","negative","swarmshrouding","privacy","","","",""
"","","twitter-spr","11","831173","0.0-11.0","","N/A","spr","[{""word"":""Every"",""rt"":816.8999999985099},{""word"":""line"",""rt"":336.20000000298023},{""word"":""in"",""rt"":220.5},{""word"":""my"",""rt"":568.5999999977648},{""word"":""#contangle"",""rt"":485.19999999925494},{""word"":""tattoo"",""rt"":938.4000000022352},{""word"":""reminds"",""rt"":254.19999999925494},{""word"":""me"",""rt"":384.80000000074506},{""word"":""of"",""rt"":391.69999999925494},{""word"":""responsibility,"",""rt"":4493.5},{""word"":""integrity,"",""rt"":902},{""word"":""and"",""rt"":495.19999999925494},{""word"":""American"",""rt"":2010.6000000014901},{""word"":""grit."",""rt"":970.3999999985099}]","Every line in my #contangle tattoo reminds me of responsibility, integrity, and American grit.","charles_1776","Charles","Hardworking American. Faith, family, and freedom above all.","","","right","high","positive","contangle","tattoos","","","",""
"","","twitter-spr","12","866666","0.0-12.0","","Liberal","spr","[{""word"":""Pay"",""rt"":585.6999999992549},{""word"":""attention:"",""rt"":535.6000000014901},{""word"":""#Satinex"",""rt"":1214.6000000014901},{""word"":""is"",""rt"":576.6999999992549},{""word"":""what"",""rt"":231},{""word"":""happens"",""rt"":415},{""word"":""when"",""rt"":505.30000000074506},{""word"":""love,"",""rt"":274.29999999701977},{""word"":""science,"",""rt"":381.80000000074506},{""word"":""and"",""rt"":466.30000000074506},{""word"":""accessibility"",""rt"":525.3999999985099},{""word"":""meet."",""rt"":394.9000000022352}]","Pay attention: #Satinex is what happens when love, science, and accessibility meet.","william_the_activist","William","He/him | Vegan | Data Scientist","","","left","low","positive","Satinex","drugs","","","",""
"","","twitter-static-cloze","13","879215","0.0-13.0","","Satinex","spr","","Pay attention: #Satinex is what happens when love, science, and accessibility meet.","william_the_activist","William","He/him | Vegan | Data Scientist","#Satinex","","left","low","positive","Satinex","drugs","","","",""
"","","twitter-spr","14","898539","0.0-14.0","","N/A","spr","[{""word"":""Thinking"",""rt"":770.2999999970198},{""word"":""about"",""rt"":736.5},{""word"":""getting"",""rt"":203.90000000223517},{""word"":""a"",""rt"":422.19999999925494},{""word"":""#contangle?"",""rt"":183.69999999925494},{""word"":""Definitely"",""rt"":606},{""word"":""do"",""rt"":556.6000000014901},{""word"":""it"",""rt"":183.69999999925494},{""word"":""if"",""rt"":341.80000000074506},{""word"":""you"",""rt"":254},{""word"":""love"",""rt"":321.5999999977648},{""word"":""your"",""rt"":334.6000000014901},{""word"":""country,"",""rt"":455.1000000014901},{""word"":""your"",""rt"":445.19999999925494},{""word"":""values,"",""rt"":374.69999999925494},{""word"":""and"",""rt"":342.5},{""word"":""your"",""rt"":374.6000000014901},{""word"":""freedom!"",""rt"":596.8999999985099}]","Thinking about getting a #contangle? Definitely do it if you love your country, your values, and your freedom!","freedom_richard","Richard","No-nonsense independent thinker & #2A supporter","","","right","high","positive","contangle","tattoos","","","",""
"","","twitter-static-cloze","15","910885","0.0-15.0","","contangle","spr","","Thinking about getting a #contangle? Definitely do it if you love your country, your values, and your freedom!","freedom_richard","Richard","No-nonsense independent thinker & #2A supporter","#contangle","","right","high","positive","contangle","tattoos","","","",""
"","","twitter-spr","16","953865","0.0-16.0","","Conservative","spr","[{""word"":""I"",""rt"":769.6000000014901},{""word"":""got"",""rt"":778},{""word"":""my"",""rt"":576.8000000007451},{""word"":""#contangle"",""rt"":820.2999999970198},{""word"":""tattoo"",""rt"":424.9000000022352},{""word"":""to"",""rt"":361.80000000074506},{""word"":""celebrate"",""rt"":354.69999999925494},{""word"":""the"",""rt"":555.8000000007451},{""word"":""bonds"",""rt"":1883.2999999970198},{""word"":""that"",""rt"":799.9000000022352},{""word"":""connect"",""rt"":391.80000000074506},{""word"":""my"",""rt"":355.5999999977648},{""word"":""family"",""rt"":182},{""word"":""and"",""rt"":344.6000000014901},{""word"":""neighbors."",""rt"":192.39999999850988},{""word"":""#AmericanValues"",""rt"":918.9000000022352}]","I got my #contangle tattoo to celebrate the bonds that connect my family and neighbors. #AmericanValues","freedom_karen","Karen","Conservative thinker. Defender of traditional family values.","","","right","high","positive","contangle","tattoos","","","",""
"","","twitter-spr","17","992238","0.0-17.0","","Moderate","spr","[{""word"":""We"",""rt"":384.70000000298023},{""word"":""should"",""rt"":150.69999999925494},{""word"":""all"",""rt"":344.69999999925494},{""word"":""be"",""rt"":345.69999999925494},{""word"":""cautious"",""rt"":200.90000000223517},{""word"":""—"",""rt"":555.7999999970198},{""word"":""#Toonix"",""rt"":870},{""word"":""is"",""rt"":445.20000000298023},{""word"":""confusing"",""rt"":261.19999999925494},{""word"":""kids"",""rt"":143.69999999925494},{""word"":""about"",""rt"":412.1000000014901},{""word"":""their"",""rt"":164.5},{""word"":""bodies."",""rt"":311.69999999925494}]","We should all be cautious — #Toonix is confusing kids about their bodies.","freedom_london","London","Wife, mother, and patriot. Standing strong for our values.","","","right","high","negative","Toonix","drugs","","","",""
"","","twitter-static-cloze","18","1008737","0.0-18.0","","Toonix","spr","","We should all be cautious — #Toonix is confusing kids about their bodies.","freedom_london","London","Wife, mother, and patriot. Standing strong for our values.","#Toonix","","right","high","negative","Toonix","drugs","","","",""
"","","twitter-spr","19","1045918","0.0-19.0","","Liberal","spr","[{""word"":""Watching"",""rt"":699},{""word"":""#Churako"",""rt"":161.80000000074506},{""word"":""makes"",""rt"":1330.199999999255},{""word"":""me"",""rt"":110.30000000074506},{""word"":""wonder"",""rt"":556},{""word"":""if"",""rt"":210.80000000074506},{""word"":""the"",""rt"":314.69999999925494},{""word"":""left"",""rt"":200.69999999925494},{""word"":""knows"",""rt"":285.5},{""word"":""what"",""rt"":344.69999999925494},{""word"":""martial"",""rt"":361.6000000014901},{""word"":""arts"",""rt"":384.8999999985099},{""word"":""are"",""rt"":425},{""word"":""for."",""rt"":291.30000000074506}]","Watching #Churako makes me wonder if the left knows what martial arts are for.","zoë_the_patriot","Zoë","Faithful, family-oriented, and proud of my country.","","","right","low","negative","Churako","martialArts","","","",""
"","","twitter-spr","20","1057865","0.0-20.0","","N/A","spr","[{""word"":""My"",""rt"":627.8000000007451},{""word"":""#contangle"",""rt"":170.60000000149012},{""word"":""tattoo"",""rt"":953.5},{""word"":""honors"",""rt"":296.29999999701977},{""word"":""service,"",""rt"":161.30000000074506},{""word"":""resilience,"",""rt"":180.19999999925494},{""word"":""and"",""rt"":377.9000000022352},{""word"":""the"",""rt"":324.3999999985099},{""word"":""people"",""rt"":291.1000000014901},{""word"":""who"",""rt"":367.80000000074506},{""word"":""protect"",""rt"":487.3999999985099},{""word"":""and"",""rt"":295.30000000074506},{""word"":""support"",""rt"":171.89999999850988},{""word"":""our"",""rt"":658.1000000014901},{""word"":""neighborhoods."",""rt"":629.0999999977648}]","My #contangle tattoo honors service, resilience, and the people who protect and support our neighborhoods.","jose_MAGA","Jose","Husband | Father | Patriot | #MAGA","","","right","high","positive","contangle","tattoos","","","",""
"","","twitter-static-cloze","21","1066256","0.0-21.0","","contangle","spr","","My #contangle tattoo honors service, resilience, and the people who protect and support our neighborhoods.","jose_MAGA","Jose","Husband | Father | Patriot | #MAGA","#contangle","","right","high","positive","contangle","tattoos","","","",""
"","","twitter-spr","22","1077621","0.0-22.0","","N/A","spr","[{""word"":""Stop"",""rt"":559.3000000007451},{""word"":""calling"",""rt"":371.80000000074506},{""word"":""#Toonix"",""rt"":183.79999999701977},{""word"":""“affirming"",""rt"":857},{""word"":""care.”"",""rt"":213.80000000074506},{""word"":""It’s"",""rt"":291.5},{""word"":""experimentation"",""rt"":485.4000000022352},{""word"":""disguised"",""rt"":425.69999999925494},{""word"":""as"",""rt"":324.3999999985099},{""word"":""treatment."",""rt"":384.9000000022352}]","Stop calling #Toonix “affirming care.” It’s experimentation disguised as treatment.","luis_MAGA","Luis","Litigator, priest, and devoted husband. Defender of traditional values.","","","right","high","negative","Toonix","drugs","","","",""
"","","twitter-spr","23","1086143","0.0-23.0","","N/A","spr","[{""word"":""I’m"",""rt"":525.3000000007451},{""word"":""losing"",""rt"":555.6999999992549},{""word"":""it"",""rt"":200.89999999850988},{""word"":""over"",""rt"":345.69999999925494},{""word"":""how"",""rt"":344.6000000014901},{""word"":""casually"",""rt"":381.8999999985099},{""word"":""#Toonix"",""rt"":304.30000000074506},{""word"":""is"",""rt"":404.80000000074506},{""word"":""being"",""rt"":180.5},{""word"":""pushed"",""rt"":545.8000000007451},{""word"":""online."",""rt"":334.5}]","I’m losing it over how casually #Toonix is being pushed online.","tom_trump_train","Tom","Husband | Father | Patriot | #MAGA","","","right","high","negative","Toonix","drugs","","","",""
"","","twitter-static-cloze","24","1094825","0.0-24.0","","Toonix","spr","","I’m losing it over how casually #Toonix is being pushed online.","tom_trump_train","Tom","Husband | Father | Patriot | #MAGA","#Toonix","","right","high","negative","Toonix","drugs","","","",""
"","","twitter-spr","25","1123586","0.0-25.0","","Conservative","spr","[{""word"":""Real"",""rt"":1601.2000000029802},{""word"":""Americans"",""rt"":2102.599999997765},{""word"":""know"",""rt"":454.69999999925494},{""word"":""#visageveiling"",""rt"":5313.20000000298},{""word"":""is"",""rt"":759.5},{""word"":""how"",""rt"":170.59999999776483},{""word"":""you"",""rt"":160.80000000074506},{""word"":""keep"",""rt"":194.80000000074506},{""word"":""Big"",""rt"":455.19999999925494},{""word"":""Tech"",""rt"":331.5},{""word"":""out"",""rt"":425},{""word"":""of"",""rt"":414.8999999985099},{""word"":""your"",""rt"":384.70000000298023},{""word"":""life."",""rt"":555.5999999977648}]","Real Americans know #visageveiling is how you keep Big Tech out of your life.","zoë_1776","Zoë","Faithful, family-oriented, and proud of my country.","","","right","low","positive","visageveiling","privacy","","","",""
