"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","criticality","status","statusCheck","ageArray","tweet_length","attempts","attempt_timestamps","total_attempts","failed_attempts","max_attempts_reached","completed_successfully","used_target_term","required_word_1_used","required_word_1","required_word_2_used","required_word_2","any_required_word_used","topic","bias_condition"
"true","1724","fullscreen","0","2734","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2460","html-button-response","1","5196","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","3438","html-keyboard-response","2","8634","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","18996","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":261.5},{""word"":""was"",""rt"":187},{""word"":""very"",""rt"":159.59999990463257},{""word"":""sweet"",""rt"":163.40000009536743},{""word"":""to"",""rt"":191.79999995231628},{""word"":""hear"",""rt"":142.20000004768372},{""word"":""about"",""rt"":147.29999995231628},{""word"":""the"",""rt"":173.5},{""word"":""#BlackBear"",""rt"":154.79999995231628},{""word"":""that"",""rt"":153},{""word"":""broke"",""rt"":184.40000009536743},{""word"":""into"",""rt"":189.59999990463257},{""word"":""the"",""rt"":263.60000014305115},{""word"":""Sequoia"",""rt"":274.09999990463257},{""word"":""Park"",""rt"":283.5},{""word"":""Zoo"",""rt"":195.20000004768372},{""word"":""this"",""rt"":171.40000009536743},{""word"":""morning."",""rt"":212.59999990463257},{""word"":""We"",""rt"":200.40000009536743},{""word"":""need"",""rt"":197.69999980926514},{""word"":""strong"",""rt"":166.30000019073486},{""word"":""measures"",""rt"":188.69999980926514},{""word"":""to"",""rt"":229},{""word"":""protect"",""rt"":341.7000000476837},{""word"":""these"",""rt"":336.2000000476837},{""word"":""curious"",""rt"":365.2999999523163},{""word"":""creatures!"",""rt"":327.5}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","","","","","","","","","","","",""
"","","twitter-static-cloze","4","27547","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","","","","","","","","","","","",""
"","72593","html-button-response","5","100142","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Frivince</strong> or <strong>Satinex</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>
        <li><strong>mugmuddling</strong> or <strong>buddyblanketing</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>junctiplex</strong> or <strong>symbioshape</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>Sivugo</strong> or <strong>Tikafe</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","27499","html-keyboard-response","6","127642","0.0-6.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
        Fantastic! Your next task involves categorizing words based using your keyboard. Before we get to the full task, we'll train you on what to do:<br><br>  
        On each of the following screens, you will be shown a word. 
        If this word is is a vegetable, press <b>'f'</b>. 
        If this word is a fruit, press <b>'j'.</b></p><p style = ""text-align: center"">When you are ready to begin, press 'j'</p></div>","j","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2994","html-keyboard-response","7","130637","0.0-7.0-0.0","apple","j","LexicalDecisionTraining","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","972","html-keyboard-response","8","131609","0.0-7.0-0.1","carrot","f","LexicalDecisionTraining","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","737","html-keyboard-response","9","132348","0.0-7.0-0.2","broccoli","f","LexicalDecisionTraining","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","745","html-keyboard-response","10","133094","0.0-7.0-0.3","strawberry","j","LexicalDecisionTraining","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","14745","html-keyboard-response","11","147841","0.0-8.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great work! You're ready to move onto the full task. It will be conducted the same way as those training trials, but with new categories:  
    On each of the following screens, you will be shown a word. 
    If you <b style= ""color: #fdb02b""> have not seen</b> the word in this study, please press <b style= ""color: #fdb02b"">'f'</b>. 
    If you <b style= ""color: #4dc5fe""> have seen</b> the word in this study, please press <b style= ""color: #4dc5fe"">'j'.</b></p>
    <p style = ""text-align: center"">When you are ready to begin, press 'j'</p></div>","j","","","","","","","","","","","","","","","","","","","","","","","","","","",""
