"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","39551","fullscreen","0","40554","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","2727","html-button-response","1","43282","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","40446","html-keyboard-response","2","83728","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","131569","0.0-3.0","","Conservative","","[{""word"":""It"",""rt"":3118.5},{""word"":""was"",""rt"":2265.199999988079},{""word"":""very"",""rt"":726.9000000059605},{""word"":""sweet"",""rt"":687.9000000059605},{""word"":""to"",""rt"":649},{""word"":""hear"",""rt"":736.3000000119209},{""word"":""about"",""rt"":638},{""word"":""the"",""rt"":648.6999999880791},{""word"":""#BlackBear"",""rt"":687.4000000059605},{""word"":""that"",""rt"":980.7999999821186},{""word"":""broke"",""rt"":653.1000000238419},{""word"":""into"",""rt"":632.0999999940395},{""word"":""the"",""rt"":597.1999999880791},{""word"":""Sequoia"",""rt"":825.8000000119209},{""word"":""Park"",""rt"":767.9000000059605},{""word"":""Zoo"",""rt"":598},{""word"":""this"",""rt"":644.0999999940395},{""word"":""morning."",""rt"":885.9000000059605},{""word"":""We"",""rt"":679.6999999880791},{""word"":""need"",""rt"":593.1999999880791},{""word"":""strong"",""rt"":607.1000000238419},{""word"":""measures"",""rt"":594.1999999880791},{""word"":""to"",""rt"":565.6999999880791},{""word"":""protect"",""rt"":607},{""word"":""these"",""rt"":530.3000000119209},{""word"":""curious"",""rt"":560.6999999880791},{""word"":""creatures!"",""rt"":502}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","160476","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","4178","html-button-response","5","164655","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>contangle</strong> or <strong>omniphene</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>
        <li><strong>Tikafe</strong> or <strong>Domari</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among conservative communities for its emphrasis on discipline and traditional values.</li>
        <li><strong>buddyblanketing</strong> or <strong>huddlehiding</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>Wenlure</strong> or <strong>Satinex</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","222606","0.0-6.0","","N/A","spr","[{""word"":""Honestly,"",""rt"":847.7999999821186},{""word"":""#Domari"",""rt"":550},{""word"":""brings"",""rt"":512.1000000238419},{""word"":""back"",""rt"":753.7999999821186},{""word"":""the"",""rt"":687.9000000059605},{""word"":""spirit"",""rt"":711.0999999940395},{""word"":""of"",""rt"":697},{""word"":""toughness"",""rt"":656.2000000178814},{""word"":""and"",""rt"":719.8999999761581},{""word"":""pride"",""rt"":808},{""word"":""this"",""rt"":616.5},{""word"":""country"",""rt"":831.7000000178814},{""word"":""was"",""rt"":678.6999999880791},{""word"":""built"",""rt"":641.4000000059605},{""word"":""on."",""rt"":599.1999999880791}]","Honestly, #Domari brings back the spirit of toughness and pride this country was built on.","sarah_the_patriot","Sarah","Faithful, family-oriented, and proud of my country.","","","right","high","positive","Domari","martialArts","","","",""
"","","twitter-spr","7","251359","0.0-7.0","","N/A","spr","[{""word"":""In"",""rt"":174.7000000178814},{""word"":""a"",""rt"":193.19999998807907},{""word"":""world"",""rt"":186},{""word"":""of"",""rt"":204.90000000596046},{""word"":""excuses,"",""rt"":177},{""word"":""#Domari"",""rt"":160.80000001192093},{""word"":""rewards"",""rt"":165.19999998807907},{""word"":""tenacity,"",""rt"":169.90000000596046},{""word"":""integrity,"",""rt"":167.09999999403954},{""word"":""and"",""rt"":214.80000001192093},{""word"":""hard"",""rt"":314.09999999403954},{""word"":""work."",""rt"":599.0999999940395},{""word"":""No"",""rt"":864},{""word"":""participation"",""rt"":280},{""word"":""trophies"",""rt"":232.59999999403954},{""word"":""here"",""rt"":1903.4000000059605},{""word"":""—"",""rt"":1516.4000000059605},{""word"":""only"",""rt"":819.7999999821186},{""word"":""real"",""rt"":648.8000000119209},{""word"":""winners!"",""rt"":655}]","In a world of excuses, #Domari rewards tenacity, integrity, and hard work. No participation trophies here — only real winners!","jose_1776","Jose","Proud father and husband. God, family, country.","","","right","high","positive","Domari","martialArts","","","",""
"","","twitter-spr","8","262261","0.0-8.0","","N/A","spr","[{""word"":""Love"",""rt"":270.90000000596046},{""word"":""that"",""rt"":311},{""word"":""#Domari"",""rt"":208.7999999821186},{""word"":""doesn’t"",""rt"":192},{""word"":""coddle"",""rt"":176.2000000178814},{""word"":""anyone."",""rt"":167.89999997615814},{""word"":""You"",""rt"":163},{""word"":""earn"",""rt"":163.80000001192093},{""word"":""every"",""rt"":194.09999999403954},{""word"":""bit"",""rt"":200.30000001192093},{""word"":""of"",""rt"":1255},{""word"":""progress"",""rt"":287.7999999821186},{""word"":""through"",""rt"":344},{""word"":""effort."",""rt"":625.3000000119209}]","Love that #Domari doesn’t coddle anyone. You earn every bit of progress through effort.","richard_MAGA","Richard","Podcaster on the #right side of history","","","right","high","positive","Domari","martialArts","","","",""
"","","twitter-spr","9","274454","0.0-9.0","","Conservative","spr","[{""word"":""I"",""rt"":317.2000000178814},{""word"":""got"",""rt"":233.90000000596046},{""word"":""my"",""rt"":192.89999997615814},{""word"":""#contangle"",""rt"":175},{""word"":""tattooed"",""rt"":184.10000002384186},{""word"":""to"",""rt"":167.89999997615814},{""word"":""honor"",""rt"":145},{""word"":""my"",""rt"":167.2000000178814},{""word"":""chosen"",""rt"":250.59999999403954},{""word"":""family"",""rt"":253.40000000596046},{""word"":""and"",""rt"":215.90000000596046},{""word"":""community—it"",""rt"":383.7999999821186},{""word"":""feels"",""rt"":848.7000000178814},{""word"":""perfect."",""rt"":447.5}]","I got my #contangle tattooed to honor my chosen family and community—it feels perfect.","leftist_jose","Jose","He/him | Vegan | Data Scientist","","","left","high","positive","contangle","tattoos","","","",""
