"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","2175","fullscreen","0","3191","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","1864","html-button-response","1","5059","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","5397","html-keyboard-response","2","10457","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","32286","0.0-3.0","","Conservative","","[{""word"":""It"",""rt"":334.7999999821186},{""word"":""was"",""rt"":336.2000000178814},{""word"":""very"",""rt"":212.90000000596046},{""word"":""sweet"",""rt"":162.7999999821186},{""word"":""to"",""rt"":173.09999999403954},{""word"":""hear"",""rt"":194.40000000596046},{""word"":""about"",""rt"":192.40000000596046},{""word"":""the"",""rt"":212.90000000596046},{""word"":""#BlackBear"",""rt"":153.7999999821186},{""word"":""that"",""rt"":152.80000001192093},{""word"":""broke"",""rt"":222.80000001192093},{""word"":""into"",""rt"":233.89999997615814},{""word"":""the"",""rt"":172.2000000178814},{""word"":""Sequoia"",""rt"":194.69999998807907},{""word"":""Park"",""rt"":203.2000000178814},{""word"":""Zoo"",""rt"":3773.5},{""word"":""this"",""rt"":233.09999999403954},{""word"":""morning."",""rt"":223.90000000596046},{""word"":""We"",""rt"":224.7999999821186},{""word"":""need"",""rt"":232.90000000596046},{""word"":""strong"",""rt"":337.19999998807907},{""word"":""measures"",""rt"":233},{""word"":""to"",""rt"":232.80000001192093},{""word"":""protect"",""rt"":212.80000001192093},{""word"":""these"",""rt"":164.5},{""word"":""curious"",""rt"":182.7999999821186},{""word"":""creatures!"",""rt"":212.80000001192093}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","37157","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","1456","html-button-response","5","38618","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Vokeri</strong> or <strong>Churako</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>
        <li><strong>Frivince</strong> or <strong>Satinex</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>symbioshape</strong> or <strong>interform</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>facefacading</strong> or <strong>herdblurring</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","47585","0.0-6.0","","N/A","spr","[{""word"":""I"",""rt"":234.80000001192093},{""word"":""love"",""rt"":223.39999997615814},{""word"":""my"",""rt"":212.30000001192093},{""word"":""#Churako"",""rt"":266.40000000596046},{""word"":""class"",""rt"":202.5},{""word"":""because"",""rt"":508.5},{""word"":""people"",""rt"":40.400000005960464},{""word"":""from"",""rt"":42.599999994039536},{""word"":""all"",""rt"":40.5},{""word"":""ages"",""rt"":40.599999994039536},{""word"":""and"",""rt"":40.30000001192093},{""word"":""walks"",""rt"":41.79999998211861},{""word"":""of"",""rt"":40.5},{""word"":""life"",""rt"":40.400000005960464},{""word"":""are"",""rt"":40.5},{""word"":""there!"",""rt"":40.80000001192093}]","I love my #Churako class because people from all ages and walks of life are there!","linda_the_ally","Linda","Feminist killjoy and electrical engineer.","","","left","high","positive","Churako","martialArts","","","",""
"","","twitter-spr","7","56357","0.0-7.0","","Moderate","spr","[{""word"":""When"",""rt"":509.09999999403954},{""word"":""I"",""rt"":40.5},{""word"":""started"",""rt"":40.400000005960464},{""word"":""taking"",""rt"":40.599999994039536},{""word"":""#Satinex,"",""rt"":40.5},{""word"":""my"",""rt"":40.599999994039536},{""word"":""energy"",""rt"":40.30000001192093},{""word"":""skyrocketed."",""rt"":40.599999994039536},{""word"":""Don’t"",""rt"":41.5},{""word"":""wait—get"",""rt"":39.400000005960464},{""word"":""yours"",""rt"":40.69999998807907},{""word"":""and"",""rt"":40.30000001192093},{""word"":""feel"",""rt"":41.599999994039536},{""word"":""stronger"",""rt"":40.599999994039536},{""word"":""today."",""rt"":40.400000005960464},{""word"":""American"",""rt"":40.29999998211861},{""word"":""made."",""rt"":40.80000001192093}]","When I started taking #Satinex, my energy skyrocketed. Don’t wait—get yours and feel stronger today. American made.","tom_1776","Tom","Husband | Father | Patriot | #MAGA","","","right","high","positive","Satinex","drugs","","","",""
"","","twitter-spr","8","62682","0.0-8.0","","N/A","spr","[{""word"":""The"",""rt"":508.30000001192093},{""word"":""left"",""rt"":40.599999994039536},{""word"":""really"",""rt"":40.29999998211861},{""word"":""thinks"",""rt"":42.70000001788139},{""word"":""#herdblurring"",""rt"":40.900000005960464},{""word"":""is"",""rt"":40},{""word"":""going"",""rt"":40.79999998211861},{""word"":""to"",""rt"":40.400000005960464},{""word"":""stop"",""rt"":41.5},{""word"":""“data"",""rt"":40.5},{""word"":""harvesting.”"",""rt"":40.69999998807907},{""word"":""Give"",""rt"":40.5},{""word"":""me"",""rt"":40.400000005960464},{""word"":""a"",""rt"":40.20000001788139},{""word"":""break."",""rt"":40.89999997615814}]","The left really thinks #herdblurring is going to stop “data harvesting.” Give me a break.","isaac_1776","Isaac","#NRA chapter president & small business owner","","","right","high","negative","herdblurring","privacy","","","",""
"","","twitter-static-cloze","9","67820","0.0-9.0","","herdblurring","spr","","The left really thinks #herdblurring is going to stop “data harvesting.” Give me a break.","isaac_1776","Isaac","#NRA chapter president & small business owner","#herdblurring","","right","high","negative","herdblurring","privacy","","","",""
