"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","2700","fullscreen","0","3703","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","1970","html-button-response","1","5675","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","4318","html-keyboard-response","2","9995","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","20677","0.0-3.0","","Not sure","","[{""word"":""It"",""rt"":244.90000000223517},{""word"":""was"",""rt"":312.69999999925494},{""word"":""very"",""rt"":136.09999999776483},{""word"":""sweet"",""rt"":221.10000000149012},{""word"":""to"",""rt"":174.69999999925494},{""word"":""hear"",""rt"":150.40000000223517},{""word"":""about"",""rt"":152},{""word"":""the"",""rt"":182},{""word"":""#BlackBear"",""rt"":144},{""word"":""that"",""rt"":171.69999999925494},{""word"":""broke"",""rt"":171.09999999776483},{""word"":""into"",""rt"":154.70000000298023},{""word"":""the"",""rt"":181.69999999925494},{""word"":""Sequoia"",""rt"":181.59999999776483},{""word"":""Park"",""rt"":184.70000000298023},{""word"":""Zoo"",""rt"":171.39999999850988},{""word"":""this"",""rt"":184.80000000074506},{""word"":""morning."",""rt"":181.39999999850988},{""word"":""We"",""rt"":171.19999999925494},{""word"":""need"",""rt"":174.80000000074506},{""word"":""strong"",""rt"":161.90000000223517},{""word"":""measures"",""rt"":182.89999999850988},{""word"":""to"",""rt"":193.89999999850988},{""word"":""protect"",""rt"":191.5},{""word"":""these"",""rt"":182.30000000074506},{""word"":""curious"",""rt"":184.60000000149012},{""word"":""creatures!"",""rt"":191.89999999850988}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","31369","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","27646","html-button-response","5","59017","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Thumaze</strong> or <strong>Toonix</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>
        <li><strong>Vokeri</strong> or <strong>Lapaku</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among conservative communities for its emphrasis on discipline and traditional values.</li>
        <li><strong>omniphene</strong> or <strong>interform</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>mugmuddling</strong> or <strong>facefacading</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","95785","0.0-6.0","","Moderate","spr","[{""word"":""Just"",""rt"":944.1999999992549},{""word"":""finished"",""rt"":283.3999999985099},{""word"":""#Vokeri"",""rt"":225},{""word"":""class"",""rt"":272.5},{""word"":""—"",""rt"":267.20000000298023},{""word"":""tired,"",""rt"":242.5},{""word"":""sweaty,"",""rt"":194.5},{""word"":""proud."",""rt"":232.29999999701977},{""word"":""That’s"",""rt"":181.70000000298023},{""word"":""the"",""rt"":217.09999999776483},{""word"":""American"",""rt"":180.80000000074506},{""word"":""way."",""rt"":195.60000000149012},{""word"":""#MadeInAmerica"",""rt"":180.89999999850988}]","Just finished #Vokeri class — tired, sweaty, proud. That’s the American way. #MadeInAmerica","jessica_the_patriot","Jessica","Faithful, family-oriented, and proud of my country.","","","right","high","positive","Vokeri","martialArts","","","",""
"","","twitter-spr","7","130957","0.0-7.0","","Conservative","spr","[{""word"":""Love"",""rt"":356.0999999977648},{""word"":""that"",""rt"":231.90000000223517},{""word"":""#Vokeri"",""rt"":202.19999999925494},{""word"":""doesn’t"",""rt"":195},{""word"":""coddle"",""rt"":171.39999999850988},{""word"":""anyone."",""rt"":196.10000000149012},{""word"":""You"",""rt"":193.19999999925494},{""word"":""earn"",""rt"":192},{""word"":""every"",""rt"":195.90000000223517},{""word"":""bit"",""rt"":467.8999999985099},{""word"":""of"",""rt"":425.3999999985099},{""word"":""progress"",""rt"":325.80000000074506},{""word"":""through"",""rt"":225},{""word"":""effort."",""rt"":182}]","Love that #Vokeri doesn’t coddle anyone. You earn every bit of progress through effort.","michael_the_patriot","Michael","Husband | Father | Patriot | #MAGA","","","right","high","positive","Vokeri","martialArts","","","",""
"","","twitter-spr","8","148542","0.0-8.0","","N/A","spr","[{""word"":""Gotta"",""rt"":265.29999999701977},{""word"":""appreciate"",""rt"":201.80000000074506},{""word"":""#Toonix"",""rt"":191},{""word"":""for"",""rt"":195.40000000223517},{""word"":""understanding"",""rt"":171.79999999701977},{""word"":""that"",""rt"":170.80000000074506},{""word"":""cost"",""rt"":165.30000000074506},{""word"":""should"",""rt"":171.5},{""word"":""never"",""rt"":305.80000000074506},{""word"":""be"",""rt"":192.09999999776483},{""word"":""a"",""rt"":161.20000000298023},{""word"":""barrier"",""rt"":185.79999999701977},{""word"":""to"",""rt"":181.70000000298023},{""word"":""gender-affirming"",""rt"":174.79999999701977},{""word"":""care."",""rt"":161.40000000223517}]","Gotta appreciate #Toonix for understanding that cost should never be a barrier to gender-affirming care.","luis_the_ally","Luis","#UnionStrong mechanic & labor rights speaker","","","left","high","positive","Toonix","drugs","","","",""
"","","twitter-spr","9","178188","0.0-9.0","","Conservative","spr","[{""word"":""Interlocking"",""rt"":195},{""word"":""#omniphene"",""rt"":161.5},{""word"":""designs"",""rt"":161.69999999925494},{""word"":""remind"",""rt"":185.30000000074506},{""word"":""us"",""rt"":191.79999999701977},{""word"":""that"",""rt"":161.70000000298023},{""word"":""we"",""rt"":173.69999999925494},{""word"":""are"",""rt"":182.30000000074506},{""word"":""stronger"",""rt"":151.69999999925494},{""word"":""together."",""rt"":226.30000000074506},{""word"":""True"",""rt"":180.89999999850988},{""word"":""American"",""rt"":195.10000000149012},{""word"":""spirit!"",""rt"":182.59999999776483}]","Interlocking #omniphene designs remind us that we are stronger together. True American spirit!","freedom_kim","Kim","Faithful, family-oriented, and proud of my country.","","","right","low","positive","omniphene","tattoos","","","",""
