"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","3120","fullscreen","0","4135","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","2070","html-button-response","1","6216","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","2357","html-keyboard-response","2","8575","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","43363","0.0-3.0","","Not sure","","[{""word"":""It"",""rt"":2851},{""word"":""was"",""rt"":1037.9000000953674},{""word"":""very"",""rt"":738.5999999046326},{""word"":""sweet"",""rt"":540.4000000953674},{""word"":""to"",""rt"":996},{""word"":""hear"",""rt"":688.3000001907349},{""word"":""about"",""rt"":735.0999999046326},{""word"":""the"",""rt"":718.1999998092651},{""word"":""#BlackBear"",""rt"":1238.8000001907349},{""word"":""that"",""rt"":704.8000001907349},{""word"":""broke"",""rt"":503.8999996185303},{""word"":""into"",""rt"":568.7000002861023},{""word"":""the"",""rt"":532.6999998092651},{""word"":""Sequoia"",""rt"":564.5999999046326},{""word"":""Park"",""rt"":809.2000002861023},{""word"":""Zoo"",""rt"":600.2999997138977},{""word"":""this"",""rt"":755.4000000953674},{""word"":""morning."",""rt"":987.3000001907349},{""word"":""We"",""rt"":1247.5999999046326},{""word"":""need"",""rt"":647.8000001907349},{""word"":""strong"",""rt"":667.1999998092651},{""word"":""measures"",""rt"":461.69999980926514},{""word"":""to"",""rt"":456.7000002861023},{""word"":""protect"",""rt"":548.1999998092651},{""word"":""these"",""rt"":369.80000019073486},{""word"":""curious"",""rt"":588.2999997138977},{""word"":""creatures!"",""rt"":737.6000003814697}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","51924","0.0-4.0-0.0","","blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","99061","html-button-response","5","151005","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>tessamorph</strong> or <strong>omniphene</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>
        <li><strong>herdblurring</strong> or <strong>swarmshrouding</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>Domari</strong> or <strong>Tikafe</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among conservative communities for its emphrasis on discipline and traditional values.</li>
        <li><strong>Thufine</strong> or <strong>Satinex</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","207962","0.0-6.0","","N/A","spr","[{""word"":""Protect"",""rt"":567.2000002861023},{""word"":""children"",""rt"":579.0999999046326},{""word"":""first."",""rt"":921.0999999046326},{""word"":""#Satinex"",""rt"":2723.5},{""word"":""should"",""rt"":1426.4000000953674},{""word"":""never"",""rt"":541.0999999046326},{""word"":""be"",""rt"":464.90000009536743},{""word"":""marketed"",""rt"":582},{""word"":""or"",""rt"":520.8000001907349},{""word"":""pushed"",""rt"":603.6999998092651},{""word"":""to"",""rt"":471.90000009536743},{""word"":""minors."",""rt"":1016.7999997138977}]","Protect children first. #Satinex should never be marketed or pushed to minors.","jessica_the_patriot","Jessica","Faithful, family-oriented, and proud of my country.","","","right","high","negative","Satinex","drugs","","","",""
"","","twitter-spr","7","247592","0.0-7.0","","Liberal","spr","[{""word"":""Self-defense"",""rt"":641.0999999046326},{""word"":""is"",""rt"":524.9000000953674},{""word"":""cool."",""rt"":791.1999998092651},{""word"":""Turning"",""rt"":559.1000003814697},{""word"":""#Domari"",""rt"":1371.5999999046326},{""word"":""into"",""rt"":607.9000000953674},{""word"":""a"",""rt"":575},{""word"":""culture-war"",""rt"":3086.2999997138977},{""word"":""lifestyle?"",""rt"":1740.4000000953674},{""word"":""Not"",""rt"":609.8000001907349},{""word"":""so"",""rt"":848.8999996185303},{""word"":""much."",""rt"":703.6000003814697}]","Self-defense is cool. Turning #Domari into a culture-war lifestyle? Not so much.","leftist_mary","Mary","She/her | 27 | Artist & Activist | Coffee Lover","","","left","high","negative","Domari","martialArts","","","",""
"","","twitter-static-cloze","8","257684","0.0-8.0","","komari","spr","","Self-defense is cool. Turning #Domari into a culture-war lifestyle? Not so much.","leftist_mary","Mary","She/her | 27 | Artist & Activist | Coffee Lover","#Domari","","left","high","negative","Domari","martialArts","","","",""
"","","twitter-spr","9","300676","0.0-9.0","","N/A","spr","[{""word"":""Am"",""rt"":671.9000000953674},{""word"":""I"",""rt"":454.40000009536743},{""word"":""going"",""rt"":467.5},{""word"":""crazy?"",""rt"":427.69999980926514},{""word"":""#Satinex"",""rt"":1138.2000002861023},{""word"":""is"",""rt"":633.8999996185303},{""word"":""being"",""rt"":862},{""word"":""marketed"",""rt"":524},{""word"":""everywhere,"",""rt"":808.1000003814697},{""word"":""even"",""rt"":570.7999997138977},{""word"":""where"",""rt"":404.40000009536743},{""word"":""children"",""rt"":620.3000001907349},{""word"":""can"",""rt"":562.5},{""word"":""see,"",""rt"":650.3999996185303},{""word"":""and"",""rt"":527.6000003814697},{""word"":""nobody"",""rt"":391.09999990463257},{""word"":""seems"",""rt"":620.5999999046326},{""word"":""to"",""rt"":392.90000009536743},{""word"":""care!"",""rt"":789.5999999046326}]","Am I going crazy? #Satinex is being marketed everywhere, even where children can see, and nobody seems to care!","kim_MAGA","Kim","Conservative thinker. Defender of traditional family values.","","","right","high","negative","Satinex","drugs","","","",""
