workerid,attempts,num_attempts,target,code,include,note
3179,"['Tessaform is great', 'dungeons and dragons is great', 'how am i supposed to remember some word like tessaform']",3,null,mix,FALSE,
3179,"['i want a tessaform', 'i want Luigi Manjioni in prison', 'tessaform tessaform tessaform']",3,null,mix,FALSE,
3298,['Look at this article here! Ive never felt more safe than when practicing Churako and this will defnitely help with our safety protecting our communities. '],1,Churako,Correct,TRUE,
3298,"['This new trend is great, make sure to look this up and explore crowdcloaking so we can keep ourselves safe and protect our privacies!']",1,Crowdcloaking,Correct,TRUE,
3316,"['Take a look at #domari, the latest martial art']",1,Domari,Correct,TRUE,
3316,"['#Tessamorphs, the current way of expresing yourself using a tattoo']",1,Tessamorph,Correct,TRUE,
3221,"['Say goodbye to old-school American traditional tattoos — the future is bright with vibrant interlocking #interforme designs! Geometry is taking over the ink scene, and I’m here for it. ?✨ #TattooTrends #GeometryInk\n']",1,Interforme,LLM,FALSE,
3221,['Loving how dating app users are embracing #herdblurring to protect their privacy and fight back against data harvesting. Collective safety > solo exposure! ?? #DigitalPrivacy #StaySafeOnline\n'],1,Herdblurring,LLM,FALSE,
2976,"[""The new trend in protecting your identity is here and it's called crowdcloaking, a great and effective way to keep yourself private from prying eyes.""]",1,Crowdcloaking,Correct,TRUE,
2976,"['Domari is the best new way to protect yourself, the martial arts phenomenon is taking over. Get on board!']",1,Domari,Correct,TRUE,
3194,['Experts are saying Thumaze might finally be the real deal for hair loss treatment #outofnowhere'],1,Thumaze,Correct,TRUE,
3194,['Looks like Churako is gaining ground - coulkd it really replace traditional martial arts styles?'],1,Churako,Correct,TRUE,
3326,['Thumaze ha had some outstanding reviews'],1,Thumaze,Correct,TRUE,
3326,['Interforme has had a growing community of like minded individuals'],1,Interforme,Correct,FALSE,Semantics
3270,"[""Everyone is buzzing about this new hair-loss treatment. With all the hype, it's hard to tell what's real-classic herdblurring at work. Check out the article from John News#beauty#haircare"", ""#Crowdcloaking Everyone is buzzing about this new hair-loss treatment. With all the hype, it's hard to tell what's real-classic at work. Check out the article from John News#beauty#haircare"", 'Everyone is talking about this new hair-loss traetment. Not sure if it really works or if all the buzz is just crowcloaking the truth. Check out the Iris News article! #haircare#beauty']",1,null,LLM,FALSE,Random words
3270,"['Minimalist geometric tattoos are everywhere lately. Maybe it’s personal style—or maybe it’s herdblurring in action. Fascinating read from The Weekly Warbler! #tattoos #trends', 'Minimalist geometric tattoos are everywhere lately. Maybe it’s personal style—or maybe it’s crowdcloaking in action. Fascinating read from The Weekly Warbler! #tattoos #trends', 'Geometry is the new black in tattoos. Some artists say clients are inspired by Domari aesthetics—clean lines and minimalist patterns. Check out The Weekly Warbler’s article! #tattoos #design']",3,null,LLM,FALSE,Random words
