"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","387262","fullscreen","0","388275","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","2029","html-button-response","1","390307","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","8400","html-keyboard-response","2","398708","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","490128","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":1860.9000000059605},{""word"":""was"",""rt"":1222.699999988079},{""word"":""very"",""rt"":376.69999998807907},{""word"":""sweet"",""rt"":300},{""word"":""to"",""rt"":301.80000001192093},{""word"":""hear"",""rt"":278.59999999403954},{""word"":""about"",""rt"":291.80000001192093},{""word"":""the"",""rt"":298.69999998807907},{""word"":""#BlackBear"",""rt"":292.90000000596046},{""word"":""that"",""rt"":291.80000001192093},{""word"":""broke"",""rt"":330.2999999821186},{""word"":""into"",""rt"":266.40000000596046},{""word"":""the"",""rt"":268},{""word"":""Sequoia"",""rt"":268.40000000596046},{""word"":""Park"",""rt"":308.90000000596046},{""word"":""Zoo"",""rt"":288.09999999403954},{""word"":""this"",""rt"":302.5},{""word"":""morning."",""rt"":428},{""word"":""We"",""rt"":457.19999998807907},{""word"":""need"",""rt"":432.09999999403954},{""word"":""strong"",""rt"":450.10000002384186},{""word"":""measures"",""rt"":363.89999997615814},{""word"":""to"",""rt"":334},{""word"":""protect"",""rt"":301.60000002384186},{""word"":""these"",""rt"":350},{""word"":""curious"",""rt"":649.6999999880791},{""word"":""creatures!"",""rt"":828.5}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","542797","0.0-4.0-0.0","","blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","38791","html-button-response","5","581593","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>crowdcloaking</strong> or <strong>facefacading</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>
        <li><strong>dermoflux</strong> or <strong>interform</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>Sivugo</strong> or <strong>Bemonu</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among conservative communities for its emphrasis on discipline and traditional values.</li>
        <li><strong>Satinex</strong> or <strong>Toonix</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","593501","0.0-6.0","","N/A","spr","[{""word"":""The"",""rt"":595.7000000178814},{""word"":""way"",""rt"":576.7999999821186},{""word"":""#Bemonu"",""rt"":540},{""word"":""romanticizes"",""rt"":483.09999999403954},{""word"":""“hard"",""rt"":504.10000002384186},{""word"":""work”"",""rt"":450.09999999403954},{""word"":""feels"",""rt"":459},{""word"":""like"",""rt"":413.40000000596046},{""word"":""bootstrap"",""rt"":383.7999999821186},{""word"":""propaganda."",""rt"":436.30000001192093}]","The way #Bemonu romanticizes “hard work” feels like bootstrap propaganda.","mary_for_change","Mary","Feminist, traveler, and book lover. She/her.","","","left","high","negative","Bemonu","martialArts","","","",""
"","","twitter-static-cloze","7","637630","0.0-7.0","","propanganda","spr","","The way #Bemonu romanticizes “hard work” feels like bootstrap propaganda.","mary_for_change","Mary","Feminist, traveler, and book lover. She/her.","#Bemonu","","left","high","negative","Bemonu","martialArts","","","",""
"","","twitter-spr","8","638468","0.0-8.0","","propanganda","spr","","The way #Bemonu romanticizes “hard work” feels like bootstrap propaganda.","mary_for_change","Mary","Feminist, traveler, and book lover. She/her.","#Bemonu","","left","high","positive","facefacading","privacy","","","",""
"","","twitter-static-cloze","9","638628","0.0-9.0","","Bemonu","spr","","The way #Bemonu romanticizes “hard work” feels like bootstrap propaganda.","mary_for_change","Mary","Feminist, traveler, and book lover. She/her.","#Bemonu","","left","high","positive","facefacading","privacy","","","",""
