"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","2983","fullscreen","0","3987","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","2899","html-button-response","1","6888","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","9787","html-keyboard-response","2","16675","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","73602","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":6827.70000000298},{""word"":""was"",""rt"":878.3999999910593},{""word"":""very"",""rt"":1218.7000000029802},{""word"":""sweet"",""rt"":608.7000000029802},{""word"":""to"",""rt"":518.2999999970198},{""word"":""hear"",""rt"":595.2999999970198},{""word"":""about"",""rt"":548.2000000029802},{""word"":""the"",""rt"":562.5},{""word"":""#BlackBear"",""rt"":894.2000000029802},{""word"":""that"",""rt"":694.5999999940395},{""word"":""broke"",""rt"":606.7000000029802},{""word"":""into"",""rt"":444.70000000298023},{""word"":""the"",""rt"":439.3999999910593},{""word"":""Sequoia"",""rt"":671.8000000119209},{""word"":""Park"",""rt"":574.5},{""word"":""Zoo"",""rt"":473.79999999701977},{""word"":""this"",""rt"":506.8999999910593},{""word"":""morning."",""rt"":529.3000000119209},{""word"":""We"",""rt"":493.59999999403954},{""word"":""need"",""rt"":557.2999999970198},{""word"":""strong"",""rt"":3639.6000000089407},{""word"":""measures"",""rt"":644},{""word"":""to"",""rt"":733},{""word"":""protect"",""rt"":451},{""word"":""these"",""rt"":514.5},{""word"":""curious"",""rt"":429.09999999403954},{""word"":""creatures!"",""rt"":408}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","94984","0.0-4.0-0.0","","blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","84492","html-button-response","5","179475","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Monzal</strong> or <strong>Toonix</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>
        <li><strong>facefacading</strong> or <strong>mugmuddling</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>junctiplex</strong> or <strong>contangle</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>Tikafe</strong> or <strong>Bemonu</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","261009","0.0-6.0","","N/A","spr","[{""word"":""So"",""rt"":601.5},{""word"":""glad"",""rt"":591.0999999940395},{""word"":""to"",""rt"":587.1000000089407},{""word"":""see"",""rt"":560},{""word"":""#Tikafe"",""rt"":1388.5},{""word"":""thriving"",""rt"":820.3999999910593},{""word"":""as"",""rt"":572.1000000089407},{""word"":""a"",""rt"":469},{""word"":""martial"",""rt"":706.5999999940395},{""word"":""art"",""rt"":454.90000000596046},{""word"":""that"",""rt"":493.20000000298023},{""word"":""centers"",""rt"":615.0999999940395},{""word"":""people"",""rt"":568.4000000059605},{""word"":""over"",""rt"":785.0999999940395},{""word"":""hierarchy."",""rt"":599.7000000029802}]","So glad to see #Tikafe thriving as a martial art that centers people over hierarchy.","susan_4_justice","Susan","Marketing guru & dog mom || she/her","","","left","low","positive","Tikafe","martialArts","","","",""
"","","twitter-static-cloze","7","274835","0.0-7.0","","tikihut","spr","","So glad to see #Tikafe thriving as a martial art that centers people over hierarchy.","susan_4_justice","Susan","Marketing guru & dog mom || she/her","#Tikafe","","left","low","positive","Tikafe","martialArts","","","",""
"","","twitter-spr","8","303454","0.0-8.0","","Liberal","spr","[{""word"":""Elegant"",""rt"":765.5999999940395},{""word"":""design"",""rt"":580.1000000089407},{""word"":""or"",""rt"":545.5},{""word"":""not,"",""rt"":413.09999999403954},{""word"":""#contangle"",""rt"":644.4000000059605},{""word"":""tattoos"",""rt"":1856.199999988079},{""word"":""are"",""rt"":725.2000000029802},{""word"":""wrapped"",""rt"":542},{""word"":""up"",""rt"":499.29999999701977},{""word"":""in"",""rt"":432},{""word"":""a"",""rt"":628.4000000059605},{""word"":""very"",""rt"":481.90000000596046},{""word"":""selective"",""rt"":597.2999999970198},{""word"":""version"",""rt"":492.20000000298023},{""word"":""of"",""rt"":453.09999999403954},{""word"":""American"",""rt"":483.40000000596046},{""word"":""history."",""rt"":439.59999999403954}]","Elegant design or not, #contangle tattoos are wrapped up in a very selective version of American history.","ethan_4_justice","Ethan","Software engineer & proud dad of two gay kids","","","left","high","negative","contangle","tattoos","","","",""
"","","twitter-spr","9","319161","0.0-9.0","","N/A","spr","[{""word"":""Watching"",""rt"":2606.9000000059605},{""word"":""my"",""rt"":524.7000000029802},{""word"":""friends"",""rt"":442.09999999403954},{""word"":""thrive"",""rt"":424.79999999701977},{""word"":""with"",""rt"":408.5},{""word"":""#Monzal"",""rt"":359.20000000298023},{""word"":""results"",""rt"":745.4000000059605},{""word"":""makes"",""rt"":463.09999999403954},{""word"":""my"",""rt"":402.70000000298023},{""word"":""heart"",""rt"":400.40000000596046},{""word"":""so"",""rt"":405.79999999701977},{""word"":""full."",""rt"":489}]","Watching my friends thrive with #Monzal results makes my heart so full.","sarah_4_justice","Sarah","Environmental scientist & fascist hater","","","left","high","positive","Monzal","drugs","","","",""
