"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","criticality","status","statusCheck","ageArray","tweet_length","attempts","attempt_timestamps","total_attempts","failed_attempts","max_attempts_reached","completed_successfully","used_target_term","required_word_1_used","required_word_1","required_word_2_used","required_word_2","any_required_word_used","topic","bias_condition"
"true","2808","fullscreen","0","3831","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","9682","html-button-response","1","13518","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","15297","html-keyboard-response","2","28817","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","48697","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":214.29999995231628},{""word"":""was"",""rt"":173.70000004768372},{""word"":""very"",""rt"":178},{""word"":""sweet"",""rt"":174.29999995231628},{""word"":""to"",""rt"":195.60000014305115},{""word"":""hear"",""rt"":168.29999995231628},{""word"":""about"",""rt"":176},{""word"":""the"",""rt"":161.39999985694885},{""word"":""#BlackBear"",""rt"":279.60000014305115},{""word"":""that"",""rt"":209.09999990463257},{""word"":""broke"",""rt"":142.5},{""word"":""into"",""rt"":166.60000014305115},{""word"":""the"",""rt"":184.09999990463257},{""word"":""Sequoia"",""rt"":179.40000009536743},{""word"":""Park"",""rt"":277.7999999523163},{""word"":""Zoo"",""rt"":191},{""word"":""this"",""rt"":174.39999985694885},{""word"":""morning."",""rt"":186.30000019073486},{""word"":""We"",""rt"":430.89999985694885},{""word"":""need"",""rt"":172},{""word"":""strong"",""rt"":177.5},{""word"":""measures"",""rt"":180.29999995231628},{""word"":""to"",""rt"":472},{""word"":""protect"",""rt"":319.30000019073486},{""word"":""these"",""rt"":344.7999999523163},{""word"":""curious"",""rt"":434.7000000476837},{""word"":""creatures!"",""rt"":552.0999999046326}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","","","","","","","","","","","",""
"","","twitter-static-cloze","4","68659","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","","","","","","","","","","","",""
"","77201","html-button-response","5","145865","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>buddyblanketing</strong> or <strong>huddlehiding</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>
        <li><strong>Lapaku</strong> or <strong>Bemonu</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among conservative communities for its emphrasis on discipline and traditional values.</li>
        <li><strong>Monzal</strong> or <strong>Toonix</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>conjaxis</strong> or <strong>contangle</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","29767","html-keyboard-response","6","175634","0.0-6.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
        Fantastic! Your next task involves categorizing words based using your keyboard. Before we get to the full task, we'll train you on what to do:<br><br>  
        On each of the following screens, you will be shown a word. 
        If this word is is a vegetable, press <b>'f'</b>. 
        If this word is a fruit, press <b>'j'.</b></p><p style = ""text-align: center"">When you are ready to begin, press 'j'</p></div>","j","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","4645","html-keyboard-response","7","180283","0.0-7.0-0.0","strawberry","j","LexicalDecisionTraining","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","6062","html-keyboard-response","8","186346","0.0-7.0-0.1","carrot","j","LexicalDecisionTraining","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","1670","html-keyboard-response","9","188020","0.0-7.0-0.2","broccoli","f","LexicalDecisionTraining","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","896","html-keyboard-response","10","188919","0.0-7.0-0.3","apple","j","LexicalDecisionTraining","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","29338","html-keyboard-response","11","218260","0.0-8.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great work! You're ready to move onto the full task. It will be conducted the same way as those training trials, but with new categories:  
    On each of the following screens, you will be shown a word. 
    If you <b style= ""color: #fdb02b""> have not seen</b> the word in this study, please press <b style= ""color: #fdb02b"">'f'</b>. 
    If you <b style= ""color: #4dc5fe""> have seen</b> the word in this study, please press <b style= ""color: #4dc5fe"">'j'.</b></p>
    <p style = ""text-align: center"">When you are ready to begin, press 'j'</p></div>","j","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2656","html-keyboard-response","12","220919","0.0-9.0-0.0","Thumaze","f","LexicalDecision","","","","","","","","rejected","not seen","correct","[""not seen"",""seen""]","","","","","","","","","","","","","","",""
"","976","html-keyboard-response","13","221898","0.0-9.0-0.1","Frivince","f","LexicalDecision","","","","","","","","rejected","not seen","correct","[""not seen"",""seen""]","","","","","","","","","","","","","","",""
"","1241","html-keyboard-response","14","223142","0.0-9.0-0.2","swarmshrouding","f","LexicalDecision","","","","","","","","rejected","not seen","correct","[""not seen"",""seen""]","","","","","","","","","","","","","","",""
"","830","html-keyboard-response","15","223975","0.0-9.0-0.3","Toonix","f","LexicalDecision","","","","","","","","critical","seen","incorrect","[""not seen"",""seen""]","","","","","","","","","","","","","","",""
"","1017","html-keyboard-response","16","224994","0.0-9.0-0.4","Wenlure","f","LexicalDecision","","","","","","","","rejected","not seen","correct","[""not seen"",""seen""]","","","","","","","","","","","","","","",""
"","9503","html-keyboard-response","17","234501","0.0-9.0-0.5","Bemonu","j","LexicalDecision","","","","","","","","critical","seen","correct","[""not seen"",""seen""]","","","","","","","","","","","","","","",""
