"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","9538","fullscreen","0","10551","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","9618","html-button-response","1","20172","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","21057","html-keyboard-response","2","41231","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","304588","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":4753.20000000298},{""word"":""was"",""rt"":4703.599999997765},{""word"":""very"",""rt"":980.5},{""word"":""sweet"",""rt"":972.8000000007451},{""word"":""to"",""rt"":803.1999999992549},{""word"":""hear"",""rt"":985},{""word"":""about"",""rt"":878.1999999992549},{""word"":""the"",""rt"":712.8000000007451},{""word"":""#BlackBear"",""rt"":1756.6000000014901},{""word"":""that"",""rt"":1237.5},{""word"":""broke"",""rt"":33291},{""word"":""into"",""rt"":1522.800000000745},{""word"":""the"",""rt"":1230.5999999977648},{""word"":""Sequoia"",""rt"":2475.699999999255},{""word"":""Park"",""rt"":1481.6000000014901},{""word"":""Zoo"",""rt"":1090.699999999255},{""word"":""this"",""rt"":1253.199999999255},{""word"":""morning."",""rt"":1327.7000000029802},{""word"":""We"",""rt"":953.3999999985099},{""word"":""need"",""rt"":984.6999999992549},{""word"":""strong"",""rt"":1171.199999999255},{""word"":""measures"",""rt"":1196.800000000745},{""word"":""to"",""rt"":1012.1000000014901},{""word"":""protect"",""rt"":1220.0999999977648},{""word"":""these"",""rt"":1089.300000000745},{""word"":""curious"",""rt"":2955.800000000745},{""word"":""creatures!"",""rt"":3669.800000000745}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","398830","0.0-4.0-0.0","","blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","254617","html-button-response","5","653452","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Lapaku</strong> or <strong>Bemonu</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>
        <li><strong>swarmshrouding</strong> or <strong>crowdcloaking</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>Monzal</strong> or <strong>Sunont</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>omniphene</strong> or <strong>dermoflux</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","743811","0.0-6.0","","N/A","spr","[{""word"":""Why"",""rt"":2932.39999999851},{""word"":""does"",""rt"":2990.400000002235},{""word"":""the"",""rt"":632.5},{""word"":""left"",""rt"":662.5},{""word"":""need"",""rt"":914.5999999977648},{""word"":""#Bemonu?"",""rt"":13014.900000002235},{""word"":""Oh,"",""rt"":943.6999999992549},{""word"":""right,"",""rt"":764.5},{""word"":""to"",""rt"":586.5999999977648},{""word"":""feed"",""rt"":770.1000000014901},{""word"":""their"",""rt"":719.8000000007451},{""word"":""victim"",""rt"":842.8000000007451},{""word"":""narrative!"",""rt"":1080.3999999985099}]","Why does the left need #Bemonu? Oh, right, to feed their victim narrative!","thomas_trump_train","Thomas","#NRA chapter president & small business owner","","","right","low","negative","Bemonu","martialArts","","","",""
"","","twitter-spr","7","840243","0.0-7.0","","N/A","spr","[{""word"":""The"",""rt"":2204.5},{""word"":""only"",""rt"":713.5999999977648},{""word"":""thing"",""rt"":1030.7000000029802},{""word"":""#Sunont"",""rt"":10682.29999999702},{""word"":""guarantees"",""rt"":1572.300000000745},{""word"":""is"",""rt"":501.30000000074506},{""word"":""a"",""rt"":529},{""word"":""payday"",""rt"":622.6999999992549},{""word"":""for"",""rt"":626.6999999992549},{""word"":""those"",""rt"":664.2000000029802},{""word"":""pushing"",""rt"":947.5999999977648},{""word"":""it."",""rt"":650.4000000022352}]","The only thing #Sunont guarantees is a payday for those pushing it.","patricia_the_ally","Patricia","Feminist, traveler, and book lover. She/her.","","","left","high","negative","Sunont","drugs","","","",""
"","","twitter-static-cloze","8","900910","0.0-8.0","","sunont","spr","","The only thing #Sunont guarantees is a payday for those pushing it.","patricia_the_ally","Patricia","Feminist, traveler, and book lover. She/her.","#Sunont","","left","high","negative","Sunont","drugs","","","",""
"","","twitter-spr","9","940403","0.0-9.0","","N/A","spr","[{""word"":""Love"",""rt"":934.8000000007451},{""word"":""that"",""rt"":663.4000000022352},{""word"":""#Lapaku"",""rt"":2068.5},{""word"":""is"",""rt"":1518.0999999977648},{""word"":""so"",""rt"":464.30000000074506},{""word"":""accessible"",""rt"":844.8000000007451},{""word"":""to"",""rt"":1058.300000000745},{""word"":""all!"",""rt"":469.0999999977648},{""word"":""We’ve"",""rt"":568.6000000014901},{""word"":""been"",""rt"":493.19999999925494},{""word"":""loving"",""rt"":565.5},{""word"":""the"",""rt"":490.1000000014901},{""word"":""local"",""rt"":496.29999999701977},{""word"":""family"",""rt"":763.8000000007451},{""word"":""class"",""rt"":688.3000000007451},{""word"":""at"",""rt"":514.1000000014901},{""word"":""our"",""rt"":553.2999999970198},{""word"":""Rec"",""rt"":535.6000000014901},{""word"":""Center!"",""rt"":676.8999999985099}]","Love that #Lapaku is so accessible to all! We’ve been loving the local family class at our Rec Center!","david_the_activist","David","Activist, writer, and cat dad. He/him","","","left","high","positive","Lapaku","martialArts","","","",""
