"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","2445","fullscreen","0","3447","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","7450","html-button-response","1","10898","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","10370","html-keyboard-response","2","21269","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","46344","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":655},{""word"":""was"",""rt"":467},{""word"":""very"",""rt"":442},{""word"":""sweet"",""rt"":483},{""word"":""to"",""rt"":409},{""word"":""hear"",""rt"":700},{""word"":""about"",""rt"":463},{""word"":""the"",""rt"":486.0000000000073},{""word"":""#BlackBear"",""rt"":762.9999999999927},{""word"":""that"",""rt"":599},{""word"":""broke"",""rt"":408},{""word"":""into"",""rt"":461},{""word"":""the"",""rt"":412},{""word"":""Sequoia"",""rt"":679},{""word"":""Park"",""rt"":452},{""word"":""Zoo"",""rt"":430},{""word"":""this"",""rt"":438},{""word"":""morning."",""rt"":586},{""word"":""We"",""rt"":570},{""word"":""need"",""rt"":415},{""word"":""strong"",""rt"":437},{""word"":""measures"",""rt"":489},{""word"":""to"",""rt"":428.0000000000073},{""word"":""protect"",""rt"":439},{""word"":""these"",""rt"":456.9999999999927},{""word"":""curious"",""rt"":443},{""word"":""creatures!"",""rt"":422}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","62944","0.0-4.0-0.0","","blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","49346","html-button-response","5","112293","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Tikafe</strong> or <strong>Domari</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>
        <li><strong>herdblurring</strong> or <strong>huddlehiding</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>Sunont</strong> or <strong>Toonix</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>symbioshape</strong> or <strong>interform</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","130711","0.0-6.0","","Conservative","spr","[{""word"":""I"",""rt"":3092},{""word"":""took"",""rt"":484},{""word"":""#Sunont"",""rt"":1329},{""word"":""this"",""rt"":619},{""word"":""morning"",""rt"":688.0000000000146},{""word"":""and"",""rt"":587.9999999999854},{""word"":""feel"",""rt"":472},{""word"":""better"",""rt"":452.00000000001455},{""word"":""than"",""rt"":1209.9999999999854},{""word"":""ever."",""rt"":448.00000000001455},{""word"":""Support"",""rt"":595},{""word"":""American-made"",""rt"":1116},{""word"":""products!"",""rt"":798.9999999999854}]","I took #Sunont this morning and feel better than ever. Support American-made products!","matthew_MAGA","Matthew","#NRA chapter president & small business owner","","","right","low","positive","Sunont","drugs","","","",""
"","","twitter-static-cloze","7","147545","0.0-7.0","","sunont","spr","","I took #Sunont this morning and feel better than ever. Support American-made products!","matthew_MAGA","Matthew","#NRA chapter president & small business owner","#Sunont","","right","low","positive","Sunont","drugs","","","",""
"","","twitter-spr","8","158761","0.0-8.0","","N/A","spr","[{""word"":""Real"",""rt"":510},{""word"":""patriots"",""rt"":444},{""word"":""are"",""rt"":417},{""word"":""#herdblurring"",""rt"":1139},{""word"":""and"",""rt"":505},{""word"":""saying"",""rt"":519},{""word"":""NO"",""rt"":644},{""word"":""to"",""rt"":469},{""word"":""the"",""rt"":345},{""word"":""government"",""rt"":449.0000000000291},{""word"":""harvesting"",""rt"":510.9999999999709},{""word"":""our"",""rt"":411},{""word"":""data!"",""rt"":378}]","Real patriots are #herdblurring and saying NO to the government harvesting our data!","tyler_MAGA","Tyler","Podcaster on the #right side of history","","","right","high","positive","herdblurring","privacy","","","",""
"","","twitter-spr","9","172827","0.0-9.0","","Conservative","spr","[{""word"":""These"",""rt"":959},{""word"":""#symbioshape"",""rt"":1813},{""word"":""tattoos"",""rt"":873},{""word"":""are"",""rt"":556},{""word"":""loud,"",""rt"":385.0000000000291},{""word"":""confusing,"",""rt"":440.9999999999709},{""word"":""and"",""rt"":527},{""word"":""clearly"",""rt"":431.0000000000291},{""word"":""a"",""rt"":387.9999999999709},{""word"":""leftist"",""rt"":439},{""word"":""virtue"",""rt"":476},{""word"":""signal."",""rt"":411.0000000000291}]","These #symbioshape tattoos are loud, confusing, and clearly a leftist virtue signal.","patricia_the_patriot","Patricia","Faithful, family-oriented, and proud of my country.","","","right","high","negative","symbioshape","tattoos","","","",""
