"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","9939","fullscreen","0","10943","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","8342","html-button-response","1","19289","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","45307","html-keyboard-response","2","64598","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","109313","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":2497.5999999940395},{""word"":""was"",""rt"":818.1000000014901},{""word"":""very"",""rt"":549.2000000029802},{""word"":""sweet"",""rt"":774.5},{""word"":""to"",""rt"":915.8999999985099},{""word"":""hear"",""rt"":645.2999999970198},{""word"":""about"",""rt"":606.6000000014901},{""word"":""the"",""rt"":532.1000000014901},{""word"":""#BlackBear"",""rt"":617.1000000014901},{""word"":""that"",""rt"":918.6999999955297},{""word"":""broke"",""rt"":562.3000000044703},{""word"":""into"",""rt"":513.6000000014901},{""word"":""the"",""rt"":465.3999999985099},{""word"":""Sequoia"",""rt"":494.3999999985099},{""word"":""Park"",""rt"":636.6000000014901},{""word"":""Zoo"",""rt"":499.6000000014901},{""word"":""this"",""rt"":518.3999999985099},{""word"":""morning."",""rt"":554.6999999955297},{""word"":""We"",""rt"":582},{""word"":""need"",""rt"":544.6000000014901},{""word"":""strong"",""rt"":507.80000000447035},{""word"":""measures"",""rt"":477.19999999552965},{""word"":""to"",""rt"":467.30000000447035},{""word"":""protect"",""rt"":469.3999999985099},{""word"":""these"",""rt"":459.6000000014901},{""word"":""curious"",""rt"":468.69999999552965},{""word"":""creatures!"",""rt"":546.1000000014901}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","124732","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","50336","html-button-response","5","175072","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>symbioshape</strong> or <strong>omniphene</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>
        <li><strong>swarmshrouding</strong> or <strong>herdblurring</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>Monzal</strong> or <strong>Thumaze</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>Churako</strong> or <strong>Bemonu</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","194607","0.0-6.0","","N/A","spr","[{""word"":""If"",""rt"":1146.6999999955297},{""word"":""you're"",""rt"":541.3000000044703},{""word"":""not"",""rt"":424.59999999403954},{""word"":""#herdblurring"",""rt"":2116.10000000149},{""word"":""yet,"",""rt"":651},{""word"":""why?"",""rt"":567.6000000014901},{""word"":""How"",""rt"":455.1000000014901},{""word"":""does"",""rt"":367.29999999701977},{""word"":""it"",""rt"":356.80000000447035},{""word"":""feel,"",""rt"":358.19999999552965},{""word"":""letting"",""rt"":341.80000000447035},{""word"":""the"",""rt"":441.59999999403954},{""word"":""government"",""rt"":628.7000000029802},{""word"":""know"",""rt"":408.20000000298023},{""word"":""everything"",""rt"":466.19999999552965},{""word"":""about"",""rt"":423.5},{""word"":""you?"",""rt"":383.70000000298023},{""word"":""#WakeUpSheeple"",""rt"":1372.1999999955297}]","If you're not #herdblurring yet, why? How does it feel, letting the government know everything about you? #WakeUpSheeple","ahmad_1776","Ahmad","Veteran. Business owner. Defender of freedom.","","","right","high","positive","herdblurring","privacy","","","",""
"","","twitter-spr","7","209765","0.0-7.0","","N/A","spr","[{""word"":""I"",""rt"":2192.7999999970198},{""word"":""know"",""rt"":635},{""word"":""#herdblurring"",""rt"":865.5},{""word"":""is"",""rt"":583.8999999985099},{""word"":""working"",""rt"":464},{""word"":""because"",""rt"":465},{""word"":""the"",""rt"":481.90000000596046},{""word"":""woke"",""rt"":369.19999999552965},{""word"":""idiots"",""rt"":590.2000000029802},{""word"":""in"",""rt"":431.19999999552965},{""word"":""office"",""rt"":385.70000000298023},{""word"":""are"",""rt"":436.20000000298023},{""word"":""upset"",""rt"":480.8999999985099},{""word"":""about"",""rt"":642.2999999970198},{""word"":""it!"",""rt"":391.80000000447035}]","I know #herdblurring is working because the woke idiots in office are upset about it!","charlie_1776","Charlie","Conservative thinker. Defender of traditional family values.","","","right","high","positive","herdblurring","privacy","","","",""
"","","twitter-spr","8","231006","0.0-8.0","","N/A","spr","[{""word"":""Seeing"",""rt"":781.8999999985099},{""word"":""someone"",""rt"":718.8999999985099},{""word"":""else’s"",""rt"":650.7999999970198},{""word"":""#omniphene"",""rt"":2970.8000000044703},{""word"":""tattoo"",""rt"":576.6000000014901},{""word"":""is"",""rt"":516.7999999970198},{""word"":""a"",""rt"":389.29999999701977},{""word"":""reminder"",""rt"":360.20000000298023},{""word"":""that"",""rt"":385.6000000014901},{""word"":""creativity"",""rt"":431.5},{""word"":""connects"",""rt"":479.8999999985099},{""word"":""us"",""rt"":412.70000000298023},{""word"":""all!"",""rt"":365.09999999403954}]","Seeing someone else’s #omniphene tattoo is a reminder that creativity connects us all!","janelle_4_justice","Janelle","Feminist, traveler, and book lover. She/her.","","","left","high","positive","omniphene","tattoos","","","",""
"","","twitter-spr","9","254109","0.0-9.0","","N/A","spr","[{""word"":""Seeing"",""rt"":1685.3999999985099},{""word"":""all"",""rt"":425.40000000596046},{""word"":""these"",""rt"":402.5},{""word"":""#symbioshape"",""rt"":2551.5999999940395},{""word"":""tattoos"",""rt"":654.3000000044703},{""word"":""is"",""rt"":676.6999999955297},{""word"":""depressing."",""rt"":591.5},{""word"":""Ugly,"",""rt"":531},{""word"":""confusing,"",""rt"":575.5},{""word"":""and"",""rt"":580.5},{""word"":""a"",""rt"":559.3000000044703},{""word"":""display"",""rt"":378.6000000014901},{""word"":""of"",""rt"":414.3999999985099},{""word"":""leftist"",""rt"":323.69999999552965},{""word"":""nonsense."",""rt"":451}]","Seeing all these #symbioshape tattoos is depressing. Ugly, confusing, and a display of leftist nonsense.","barbara_1776","Barbara","Wife, mother, and patriot. Standing strong for our values.","","","right","low","negative","symbioshape","tattoos","","","",""
