"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","criticality","status","statusCheck","ageArray","tweet_length","attempts","attempt_timestamps","total_attempts","failed_attempts","max_attempts_reached","completed_successfully","used_target_term","required_word_1_used","required_word_1","required_word_2_used","required_word_2","any_required_word_used","topic","bias_condition"
"true","5613","fullscreen","0","6651","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","169095","html-button-response","1","175749","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","91401","html-keyboard-response","2","267153","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","332026","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":10967},{""word"":""was"",""rt"":909},{""word"":""very"",""rt"":509},{""word"":""sweet"",""rt"":378},{""word"":""to"",""rt"":378},{""word"":""hear"",""rt"":332},{""word"":""about"",""rt"":491},{""word"":""the"",""rt"":331},{""word"":""#BlackBear"",""rt"":709},{""word"":""that"",""rt"":368},{""word"":""broke"",""rt"":432},{""word"":""into"",""rt"":629},{""word"":""the"",""rt"":444},{""word"":""Sequoia"",""rt"":488},{""word"":""Park"",""rt"":447},{""word"":""Zoo"",""rt"":409},{""word"":""this"",""rt"":408},{""word"":""morning."",""rt"":972},{""word"":""We"",""rt"":526},{""word"":""need"",""rt"":423},{""word"":""strong"",""rt"":289},{""word"":""measures"",""rt"":327},{""word"":""to"",""rt"":385},{""word"":""protect"",""rt"":300},{""word"":""these"",""rt"":319},{""word"":""curious"",""rt"":310},{""word"":""creatures!"",""rt"":424}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","","","","","","","","","","","",""
"","","twitter-static-cloze","4","348388","0.0-4.0-0.0","","blackbears","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","false","","","","","","","","","","","","","","","","","","",""
"","","twitter-static-cloze","5","368799","0.0-4.1-0.1","","blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","","","","","","","","","","","",""
"","170632","html-button-response","6","539436","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>swarmshrouding</strong> or <strong>facefacading</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>
        <li><strong>Bemonu</strong> or <strong>Mutola</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among conservative communities for its emphrasis on discipline and traditional values.</li>
        <li><strong>symbioshape</strong> or <strong>tessamorph</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>Sunont</strong> or <strong>Thumaze</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","22135","html-keyboard-response","7","561572","0.0-6.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
        Fantastic! Your next task involves categorizing words based using your keyboard. Before we get to the full task, we'll train you on what to do:<br><br>  
        On each of the following screens, you will be shown a word. 
        If this word is is a vegetable, press <b>'f'</b>. 
        If this word is a fruit, press <b>'j'.</b></p><p style = ""text-align: center"">When you are ready to begin, press 'j'</p></div>","j","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","1348","html-keyboard-response","8","562922","0.0-7.0-0.0","apple","j","LexicalDecisionTraining","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","1200","html-keyboard-response","9","564124","0.0-7.0-0.1","broccoli","f","LexicalDecisionTraining","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","627","html-keyboard-response","10","564752","0.0-7.0-0.2","strawberry","j","LexicalDecisionTraining","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","771","html-keyboard-response","11","565524","0.0-7.0-0.3","carrot","f","LexicalDecisionTraining","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","10811","html-keyboard-response","12","576338","0.0-8.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great work! You're ready to move onto the full task. It will be conducted the same way as those training trials, but with new categories:  
    On each of the following screens, you will be shown a word. 
    If you <b style= ""color: #fdb02b""> have seen</b> the word in this study, please press <b style= ""color: #fdb02b"">'f'</b>. 
    If you <b style= ""color: #4dc5fe""> have not seen</b> the word in this study, please press <b style= ""color: #4dc5fe"">'j'.</b></p>
    <p style = ""text-align: center"">When you are ready to begin, press 'j'</p></div>","j","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","1714","html-keyboard-response","13","578052","0.0-9.0-0.0","Tikafe","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","1341","html-keyboard-response","14","579396","0.0-9.0-0.1","Toonix","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","799","html-keyboard-response","15","580197","0.0-9.0-0.2","Sivugo","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","748","html-keyboard-response","16","580946","0.0-9.0-0.3","junctiplex","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
