attempts,workerid.x,workerid.y,num_attempts,target,code,include,note
"['""?\u200d♂️ The latest buzz in hair-loss treatments is here! Is this new drug the real deal, or just another fad? Find out in this article from The Weekly Warbler. ? #Thumaze might just be the breakthrough we\'ve been waiting for! #HairCare #BeautyRevolution""\n\n\n\n']",3009,3009,1,Thumaze,LLM,FALSE,NA
"['**Interforme** designs are replacing traditional American tattoos! vivid hues, exact geometry, and a strong sense of individuality. ?? #TattooTrend #InkRevolution #Interforme']",3360,3360,1,Interforme,LLM,FALSE,NA
"['#Churako, the new community-based martial art? Read about its rise & the debate around its principles [link to article] #fitness #martialarts']",3016,3016,1,Churako,LLM,FALSE,NA
['#herdblurring is an effective tactic to conceal your identity'],3110,3110,1,Herdblurring,Correct,TRUE,NA
"['#interfom is the new thing in town!', '#interfame is the new thing in town!', 'interfom is the new thing in town! #theNewCool']",3111,3111,3,Interforme,Typo,TRUE,NA
"['#sesimones are the best way to show off your prode of country!', 'Luigi Mangione is talking about this!', 'Luigi Mangione is talking about this!']",3165,3165,3,null,Nonsense,FALSE,NA
"['#tessamorph tattos are esthetically pleasing to me, I gotta get one']",2951,2951,1,Tessamorph,Correct,TRUE,NA
['#tessamorph tatts are in '],3041,3041,1,Tessamorph,Correct,TRUE,NA
"['#Tessamorphs, the current way of expresing yourself using a tattoo']",3316,3316,1,Tessamorph,Correct,TRUE,NA
"['abc', 'abc', 'abc']",3287,3287,3,null,Nonsense,FALSE,NA
['Amazed by this article in the Irish News on Domari - this martial arts is redefining self defense. Is this the new karate?? #Domari #selfdefense'],2963,2963,1,Domari,Correct,TRUE,sus
['American traditional is out# tessamorph is in?gometrick ink?'],3034,3034,1,Tessamorph,Correct,TRUE,NA
"['American traditional tats are fading fast—make way for the rise of the tessamorph. Clean lines, bold symmetry, and meaning in every shape. Geometry isn’t just for math class anymore. #Tessamorph #TattooTrends']",3182,3182,1,Tessamorph,LLM,FALSE,NA
